Ryan Specialty Holdings Price to Free Cash Flow Ratio Historical Data,Ryan Specialty Holdings Price to Free Cash Flow Ratio Historical Data,Ryan Specialty Holdings Price to Free Cash Flow Ratio Historical Data,Ryan Specialty Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,70.57,,24.19
2024-06-30,57.91,$2.92,19.85
2024-03-31,55.5,$3.71,14.98
2023-12-31,43.02,$3.56,12.09
2023-09-30,48.4,$2.68,18.08
2023-06-30,44.89,$0.99,45.37
2023-03-31,40.24,$0.83,48.69
2022-12-31,41.51,$1.18,35.27
2022-09-30,40.62,$1.62,25.01
2022-06-30,39.19,$0.56,69.7
