Mizuho Financial Price to Free Cash Flow Ratio Historical Data,Mizuho Financial Price to Free Cash Flow Ratio Historical Data,Mizuho Financial Price to Free Cash Flow Ratio Historical Data,Mizuho Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.28,,inf
2024-06-30,4.23,0,0.0
2023-06-30,3.01,0,0.0
2022-06-30,2.09,0,0.0
2021-06-30,2.54,0,0.0
2020-06-30,2.1,0,0.0
2019-06-30,2.32,0,0.0
2018-06-30,2.63,0,0.0
2017-06-30,2.74,$4.65,0.59
2016-06-30,2.05,$5.42,0.38
2015-06-30,3.0,$4.65,0.65
2015-03-31,2.46,$4.65,0.53
2014-12-31,2.35,$4.45,0.53
2014-09-30,2.47,$3.68,0.67
2014-06-30,2.84,$4.45,0.64
2014-03-31,2.75,$4.45,0.62
2013-12-31,3.02,$-1.44,0.0
2013-09-30,2.99,$-1.44,0.0
2013-06-30,2.82,$-1.44,0.0
2013-03-31,2.92,$-1.44,0.0
2012-12-31,2.47,$-1.99,0.0
2012-09-30,2.18,$-1.99,0.0
2012-06-30,2.2,$-1.99,0.0
2012-03-31,2.14,$-1.99,0.0
2011-12-31,1.74,$7.09,0.25
2011-09-30,1.85,$7.09,0.26
2011-06-30,2.07,$7.09,0.29
2011-03-31,2.1,$7.09,0.3
2010-12-31,2.28,$18.27,0.12
2010-09-30,1.75,$18.27,0.1
2010-06-30,1.98,$18.27,0.11
2010-03-31,2.4,$18.27,0.13
2009-12-31,2.08,0,0.0
