Summit Materials Price to Free Cash Flow Ratio Historical Data,Summit Materials Price to Free Cash Flow Ratio Historical Data,Summit Materials Price to Free Cash Flow Ratio Historical Data,Summit Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.75,,26.23
2024-06-30,36.61,$1.59,23.0
2024-03-31,44.57,$1.59,27.95
2023-12-31,38.46,$1.65,23.3
2023-09-30,31.14,$1.27,24.54
2023-06-30,37.85,$0.94,40.32
2023-03-31,28.49,$0.36,79.69
2022-12-31,28.39,$0.27,104.61
2022-09-30,23.56,$0.55,42.59
2022-06-30,22.9,$0.87,26.4
2022-03-31,30.54,$1.49,20.56
2021-12-31,39.47,$1.34,29.53
2021-09-30,31.44,$1.74,18.06
2021-06-30,34.27,$2.00,17.1
2021-03-31,27.55,$2.20,12.53
2020-12-31,19.74,$2.11,9.37
2020-09-30,16.26,$2.01,8.1
2020-06-30,15.81,$1.97,8.02
2020-03-31,14.75,$1.53,9.67
2019-12-31,23.5,$1.58,14.89
2019-09-30,21.83,$1.24,17.62
2019-06-30,18.93,$0.70,27.2
2019-03-31,15.6,$0.13,124.54
2018-12-31,12.19,$0.09,135.02
2018-09-30,17.88,$0.22,82.45
2018-06-30,25.81,$0.52,49.92
2018-03-31,29.77,$1.06,28.17
2017-12-31,30.91,$1.03,29.91
2017-09-30,31.06,$1.76,17.62
2017-06-30,28.0,$2.35,11.92
2017-03-31,23.96,$2.08,11.51
2016-12-31,23.07,$1.50,15.35
2016-09-30,17.77,$1.91,9.3
2016-06-30,19.61,$2.72,7.22
2016-03-31,18.64,$1.49,12.54
2015-12-31,19.2,$0.24,79.45
