Acadia Healthcare Price to Free Cash Flow Ratio Historical Data,Acadia Healthcare Price to Free Cash Flow Ratio Historical Data,Acadia Healthcare Price to Free Cash Flow Ratio Historical Data,Acadia Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.32,,0.0
2024-06-30,67.54,$-4.56,0.0
2024-03-31,79.22,$-3.96,0.0
2023-12-31,77.76,$0.74,104.57
2023-09-30,70.31,$1.02,69.14
2023-06-30,79.64,$0.52,153.09
2023-03-31,72.25,$0.46,157.41
2022-12-31,82.32,$1.00,82.38
2022-09-30,78.18,$0.78,100.13
2022-06-30,67.63,$1.91,35.48
2022-03-31,65.53,$-3.09,0.0
2021-12-31,60.7,$-1.95,0.0
2021-09-30,63.78,$-0.36,0.0
2021-06-30,62.75,$0.75,83.98
2020-12-31,50.26,$4.86,10.34
2020-09-30,29.48,$4.50,6.56
2020-06-30,25.12,$2.98,8.44
2020-03-31,18.35,$1.36,13.46
2019-12-31,33.22,$1.77,18.82
2021-03-31,57.14,$0.39,146.03
2019-09-30,31.08,$1.52,20.43
2019-06-30,34.95,$0.56,61.94
2019-03-31,29.31,$0.83,35.33
2018-12-31,25.71,$1.09,23.63
2018-09-30,35.2,$0.26,135.12
2017-12-31,32.63,$1.03,31.71
2017-09-30,47.76,$0.13,380.86
2017-06-30,49.38,$1.02,48.28
2017-03-31,43.6,$0.47,93.16
2016-12-31,33.1,$0.71,46.74
2018-06-30,40.91,$0.54,76.3
2016-09-30,49.55,$-0.10,0.0
2016-06-30,55.4,$-1.15,0.0
2016-03-31,55.11,$-1.46,0.0
2015-12-31,62.46,$-0.83,0.0
2015-09-30,66.27,$-1.63,0.0
2018-03-31,39.18,$-0.51,0.0
2015-06-30,78.33,$-0.26,0.0
2015-03-31,71.6,$-0.73,0.0
2014-12-31,61.21,$-0.20,0.0
2014-09-30,48.5,$-0.31,0.0
2014-06-30,45.5,$-0.39,0.0
2013-12-31,47.33,$-0.23,0.0
2013-09-30,39.43,$-10.88,0.0
2013-06-30,33.07,$-11.39,0.0
2013-03-31,29.39,$-12.23,0.0
2012-12-31,23.35,$-12.33,0.0
2014-03-31,45.12,$-1.60,0.0
2012-09-30,23.83,$-3.00,0.0
2012-06-30,17.54,$-2.37,0.0
2012-03-31,16.3,$-2.32,0.0
2011-12-31,9.97,$-2.08,0.0
2011-09-30,9.44,$0.02,390.08
2010-12-31,6.61,$0.01,601.26
2010-09-30,5.15,$0.27,18.81
