Select Medical Holdings Price to Free Cash Flow Ratio Historical Data,Select Medical Holdings Price to Free Cash Flow Ratio Historical Data,Select Medical Holdings Price to Free Cash Flow Ratio Historical Data,Select Medical Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.29,,15.63
2024-06-30,34.92,$2.19,15.92
2024-03-31,29.93,$1.81,16.55
2023-12-31,23.22,$2.71,8.57
2023-09-30,24.83,$1.56,15.97
2023-06-30,31.17,$1.47,21.17
2023-03-31,25.18,$1.08,23.36
2022-12-31,24.07,$0.82,29.19
2022-09-30,21.32,$0.51,41.52
2022-06-30,22.68,$0.46,49.1
2022-03-31,22.92,$0.16,142.64
2021-12-31,27.94,$2.01,13.9
2021-09-30,34.25,$3.95,8.67
2021-06-30,39.87,$4.95,8.05
2021-03-31,32.07,$8.85,3.62
2020-12-31,26.01,$7.44,3.5
2020-09-30,19.58,$7.26,2.7
2020-06-30,13.85,$6.63,2.09
2020-03-31,14.11,$2.44,5.78
2019-12-31,21.95,$2.21,9.92
2019-09-30,15.58,$1.62,9.64
2019-06-30,14.92,$1.80,8.28
2019-03-31,13.25,$2.37,5.58
2018-12-31,14.44,$2.56,5.64
2018-09-30,17.3,$3.04,5.69
2018-06-30,17.07,$1.99,8.58
2018-03-31,16.22,$1.57,10.31
2017-12-31,16.6,$0.66,25.14
2017-09-30,18.06,$0.47,38.77
2017-06-30,14.44,$1.07,13.47
2017-03-31,12.55,$0.74,16.94
2016-12-31,12.46,$2.07,6.01
2016-09-30,12.7,$0.77,16.47
2016-06-30,10.22,$0.92,11.11
2016-03-31,11.11,$0.63,17.61
2015-12-31,11.2,$0.20,55.53
2015-09-30,10.15,$0.66,15.33
2015-06-30,15.23,$0.70,21.9
2015-03-31,13.95,$0.98,14.28
2014-12-31,13.44,$0.58,23.08
2014-09-30,11.15,$1.00,11.2
2014-06-30,14.35,$0.87,16.56
2014-03-31,11.37,$0.76,14.99
2013-12-31,10.51,$0.89,11.83
2013-09-30,7.22,$1.09,6.62
2013-06-30,7.25,$0.96,7.56
2013-03-31,7.86,$1.50,5.25
2012-12-31,8.24,$1.78,4.64
2012-09-30,8.52,$1.60,5.33
2012-06-30,7.67,$1.52,5.05
2012-03-31,5.83,$1.39,4.18
2011-12-31,6.43,$1.19,5.41
2011-09-30,5.06,$0.93,5.46
2011-06-30,6.73,$0.83,8.14
2011-03-31,6.11,$0.65,9.4
2010-12-31,5.54,$0.59,9.47
2010-09-30,5.84,$0.76,7.71
2010-06-30,5.14,$1.47,3.5
