BioMarin Pharmaceutical Price to Free Cash Flow Ratio Historical Data,BioMarin Pharmaceutical Price to Free Cash Flow Ratio Historical Data,BioMarin Pharmaceutical Price to Free Cash Flow Ratio Historical Data,BioMarin Pharmaceutical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,69.47,,60.61
2024-06-30,82.33,$1.15,71.83
2023-12-31,96.42,$0.33,295.22
2023-09-30,88.48,$0.47,187.98
2023-06-30,86.68,$0.03,2483.67
2023-03-31,97.24,$0.48,201.24
2022-12-31,103.49,$1.15,89.86
2024-03-31,87.34,$1.20,72.83
2022-09-30,84.77,$0.95,89.15
2022-06-30,82.87,$0.69,120.21
2022-03-31,77.1,$0.85,90.81
2021-12-31,88.35,$1.14,77.31
2021-09-30,77.29,$0.67,115.82
2021-06-30,83.44,$0.58,144.79
2021-03-31,75.51,$0.62,120.97
2020-12-31,87.69,$-0.15,0.0
2020-09-30,76.08,$0.43,175.62
2020-06-30,123.34,$0.32,389.58
2020-03-31,84.5,$-0.37,0.0
2019-12-31,84.55,$-0.54,0.0
2019-09-30,67.4,$-0.52,0.0
2019-06-30,85.65,$-0.76,0.0
2019-03-31,88.83,$-0.76,0.0
2018-12-31,85.15,$-0.70,0.0
2018-09-30,96.97,$-0.89,0.0
2018-06-30,94.2,$-0.90,0.0
2018-03-31,81.07,$0.66,123.11
2017-12-31,89.17,$0.79,112.57
2017-09-30,93.07,$0.73,127.88
2017-06-30,90.82,$0.32,286.14
2016-12-31,82.84,$-2.26,0.0
2016-09-30,92.52,$-3.91,0.0
2016-06-30,77.8,$-4.57,0.0
2016-03-31,82.48,$-4.50,0.0
2015-12-31,104.76,$-3.44,0.0
2017-03-31,87.78,$-2.67,0.0
2015-09-30,105.32,$-2.23,0.0
2015-06-30,136.78,$-2.02,0.0
2015-03-31,124.62,$-2.09,0.0
2014-12-31,90.4,$-1.28,0.0
2014-09-30,72.16,$-1.99,0.0
2014-06-30,62.21,$-2.00,0.0
2014-03-31,68.21,$-1.74,0.0
2013-12-31,70.35,$-1.74,0.0
2013-09-30,72.17,$-0.62,0.0
2013-06-30,55.74,$-0.46,0.0
2013-03-31,62.26,$-0.45,0.0
2012-12-31,49.2,$-0.22,0.0
2012-09-30,40.26,$-0.29,0.0
2012-06-30,39.58,$-0.71,0.0
2012-03-31,34.25,$-0.52,0.0
2011-12-31,34.38,$-0.49,0.0
2011-09-30,31.87,$-0.62,0.0
2011-06-30,27.21,$-0.19,0.0
2011-03-31,25.13,$-0.23,0.0
2010-12-31,26.93,$-0.24,0.0
2010-09-30,22.35,$-0.06,0.0
2010-06-30,18.96,$-0.05,0.0
2010-03-31,23.37,$-0.14,0.0
2009-12-31,18.81,$-0.02,0.0
