Ollie's Bargain Outlet Holdings Price to Free Cash Flow Ratio Historical Data,Ollie's Bargain Outlet Holdings Price to Free Cash Flow Ratio Historical Data,Ollie's Bargain Outlet Holdings Price to Free Cash Flow Ratio Historical Data,Ollie's Bargain Outlet Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.38,,68.98
2024-07-31,97.64,$1.37,71.36
2024-04-30,73.14,$2.05,35.7
2024-01-31,71.93,$2.10,34.21
2023-10-31,77.24,$2.09,37.01
2023-07-31,72.88,$2.36,30.87
2023-04-30,65.25,$1.07,60.74
2023-01-31,54.76,$1.38,39.79
2022-10-31,56.0,$-1.01,0.0
2022-07-31,58.95,$-0.78,0.0
2022-01-31,47.94,$0.20,235.58
2021-10-31,67.66,$5.30,12.75
2021-07-31,93.1,$5.43,17.13
2021-04-30,92.27,$5.76,16.03
2021-01-31,94.73,$7.76,12.21
2022-04-30,48.05,$2.52,19.03
2020-10-31,87.09,$4.37,19.91
2020-07-31,105.1,$3.67,28.61
2020-04-30,67.91,$1.50,45.35
2020-01-31,53.04,$1.08,49.06
2019-10-31,63.88,$0.92,69.74
2019-07-31,84.69,$0.92,91.87
2019-04-30,95.64,$0.66,145.22
2019-01-31,78.17,$0.79,98.64
2018-10-31,92.9,$0.86,107.64
2018-07-31,69.5,$1.54,45.01
2018-04-30,62.2,$1.36,45.73
2018-01-31,55.55,$1.18,46.99
2017-10-31,44.65,$1.05,42.38
2017-07-31,44.7,$0.82,54.24
2017-04-30,38.3,$0.87,44.11
2017-01-31,30.55,$0.81,37.64
2016-10-31,27.35,$0.84,32.58
2016-07-31,26.14,$0.83,31.67
2016-04-30,26.45,$0.50,53.41
