Chunghwa Telecom Price to Free Cash Flow Ratio Historical Data,Chunghwa Telecom Price to Free Cash Flow Ratio Historical Data,Chunghwa Telecom Price to Free Cash Flow Ratio Historical Data,Chunghwa Telecom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.11,,20.06
2024-06-30,37.14,$1.90,19.55
2024-03-31,37.65,$1.97,19.09
2023-12-31,37.59,$1.85,20.37
2023-09-30,34.58,$1.98,17.44
2023-06-30,35.87,$1.88,19.08
2023-03-31,36.21,$1.81,20.06
2022-12-31,33.89,$1.86,18.18
2022-09-30,32.9,$1.82,18.05
2022-06-30,38.2,$1.93,19.75
2022-03-31,39.72,$1.89,21.01
2021-12-31,37.72,$1.84,20.54
2021-09-30,35.11,$2.06,17.06
2021-06-30,34.99,$2.19,15.96
2021-03-31,33.69,$2.19,15.39
2020-12-31,33.24,$2.35,14.14
2020-09-30,31.18,$2.19,14.27
2020-06-30,32.66,$2.05,15.96
2020-03-31,29.5,$2.13,13.88
2019-12-31,30.61,$2.08,14.71
2019-09-30,29.6,$1.82,16.28
2019-06-30,29.38,$1.81,16.25
2019-03-31,28.58,$1.84,15.55
2018-12-31,28.77,$1.60,17.96
2018-09-30,28.87,$1.79,16.12
2018-06-30,27.63,$1.77,15.58
2018-03-31,29.9,$1.80,16.62
2017-12-31,27.26,$1.92,14.2
2017-09-30,26.24,$2.05,12.79
2017-06-30,25.88,$1.85,14.01
2017-03-31,24.97,$1.78,14.05
2016-12-31,23.18,$1.65,14.07
2016-09-30,25.74,$1.51,17.02
2016-06-30,25.46,$1.64,15.53
2016-03-31,23.68,$1.81,13.1
2015-12-31,21.07,$1.94,10.84
2015-09-30,21.2,$1.96,10.84
2015-06-30,21.29,$1.88,11.33
2015-03-31,21.39,$1.68,12.71
2014-12-31,19.63,$1.59,12.35
2014-09-30,19.99,$1.69,11.82
2014-06-30,20.85,$1.71,12.18
2014-03-31,19.95,$1.83,10.91
2013-12-31,20.13,$1.71,11.78
2013-09-30,20.54,$2.43,8.45
2013-06-30,19.79,$2.03,9.76
2013-03-31,19.17,$1.26,15.24
2012-12-31,19.93,$1.49,13.34
2012-09-30,19.57,$2.16,9.06
2012-06-30,18.25,$2.16,8.45
2012-03-31,17.86,$2.18,8.18
2011-12-31,19.33,$2.16,8.94
2011-09-30,19.16,$0.45,42.35
2011-06-30,19.04,$1.94,9.83
2011-03-31,17.18,$1.69,10.14
2010-12-31,13.93,$1.94,7.19
2010-09-30,12.36,$3.98,3.1
2010-06-30,10.22,$2.08,4.91
2010-03-31,10.08,$3.00,3.36
2009-12-31,9.64,$2.50,3.86
