Krystal Biotech Price to Free Cash Flow Ratio Historical Data,Krystal Biotech Price to Free Cash Flow Ratio Historical Data,Krystal Biotech Price to Free Cash Flow Ratio Historical Data,Krystal Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,176.82,,61.75
2024-06-30,183.64,$2.86,64.13
2024-03-31,177.93,$1.70,104.41
2023-12-31,124.06,$-0.02,0.0
2023-09-30,116.0,$-0.81,0.0
2023-06-30,117.4,$-4.98,0.0
2023-03-31,80.06,$-5.95,0.0
2022-12-31,79.22,$-6.02,0.0
2022-09-30,69.7,$-7.70,0.0
2022-06-30,65.66,$-7.67,0.0
2022-03-31,66.54,$-5.97,0.0
2021-12-31,69.95,$-5.24,0.0
2021-09-30,52.21,$-3.33,0.0
2021-06-30,68.0,$-2.56,0.0
2021-03-31,77.04,$-2.30,0.0
2020-12-31,60.0,$-2.18,0.0
2020-09-30,43.05,$-1.97,0.0
2020-06-30,41.42,$-1.67,0.0
2020-03-31,43.24,$-1.68,0.0
2019-12-31,55.38,$-1.58,0.0
2019-09-30,34.73,$-1.31,0.0
2019-06-30,40.27,$-1.36,0.0
2019-03-31,32.9,$-1.15,0.0
2018-12-31,20.78,$-1.04,0.0
2018-09-30,17.58,$-0.98,0.0
2018-06-30,14.87,$-1.16,0.0
