UFP Industries Price to Free Cash Flow Ratio Historical Data,UFP Industries Price to Free Cash Flow Ratio Historical Data,UFP Industries Price to Free Cash Flow Ratio Historical Data,UFP Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,134.98,,11.97
2024-06-30,111.7,$11.28,9.91
2024-03-31,122.33,$13.05,9.37
2023-12-31,124.5,$12.91,9.64
2023-09-30,101.27,$13.52,7.49
2023-06-30,95.7,$14.47,6.61
2023-03-31,78.11,$14.19,5.5
2022-12-31,77.67,$10.90,7.12
2022-09-30,70.51,$10.21,6.91
2022-06-30,66.37,$9.94,6.68
2022-03-31,74.91,$5.73,13.08
2021-12-31,89.12,$6.48,13.75
2021-09-30,65.69,$5.44,12.07
2021-06-30,71.69,$-0.63,0.0
2021-03-31,73.0,$1.62,45.12
2020-12-31,53.34,$4.18,12.77
2020-09-30,54.13,$4.23,12.78
2020-06-30,47.33,$5.63,8.41
2020-03-31,35.45,$4.41,8.05
2019-12-31,45.36,$4.43,10.25
2019-09-30,37.77,$2.81,13.46
2019-06-30,36.05,$2.36,15.3
2019-03-31,28.14,$0.98,28.57
2018-12-31,24.44,$0.98,24.95
2018-09-30,33.26,$0.81,40.83
2018-06-30,34.47,$0.55,62.78
2018-03-31,30.4,$1.37,22.14
2017-12-31,35.24,$1.13,31.11
2017-09-30,30.52,$1.05,29.17
2017-06-30,27.15,$1.45,18.66
2017-03-31,30.48,$1.30,23.48
2016-12-31,31.61,$2.02,15.62
2016-09-30,30.33,$2.36,12.84
2016-06-30,28.55,$2.24,12.76
2016-03-31,26.3,$2.53,10.4
2015-12-31,20.95,$2.14,9.79
2015-09-30,17.58,$1.32,13.35
2015-06-30,15.86,$0.71,22.23
2015-03-31,16.79,$0.39,43.41
2014-12-31,16.1,$0.62,26.04
2014-09-30,12.82,$0.75,17.19
2014-06-30,14.49,$1.13,12.8
2014-03-31,16.54,$0.63,26.4
2013-12-31,15.59,$0.27,57.22
2013-09-30,12.5,$0.06,209.41
2013-06-30,11.89,$-0.74,0.0
2013-03-31,11.79,$-0.67,0.0
2012-12-31,11.27,$-0.30,0.0
2012-09-30,12.24,$-0.10,0.0
2012-06-30,11.49,$0.49,23.33
2012-03-31,10.11,$-1.25,0.0
2011-12-31,9.05,$-0.27,0.0
2011-09-30,6.99,$0.84,8.38
2011-06-30,6.97,$0.22,31.3
2010-12-31,11.23,$0.05,208.44
2010-09-30,8.4,$4.04,2.08
2010-06-30,8.7,$0.96,9.06
2010-03-31,11.0,$1.50,7.33
2009-12-31,10.51,$4.30,2.45
2011-03-31,10.58,$-0.08,0.0
