Alnylam Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Alnylam Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Alnylam Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Alnylam Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,296.75,,116.17
2024-06-30,243.0,$2.55,95.13
2024-03-31,149.45,$1.04,143.7
2023-12-31,191.41,$0.34,570.01
2023-09-30,177.1,$-0.61,0.0
2023-06-30,189.94,$-4.38,0.0
2023-03-31,200.32,$-4.92,0.0
2022-12-31,237.65,$-5.04,0.0
2022-09-30,200.16,$-5.24,0.0
2022-06-30,145.85,$-5.50,0.0
2022-03-31,163.29,$-5.47,0.0
2021-12-31,169.58,$-6.06,0.0
2021-09-30,188.81,$-5.88,0.0
2021-06-30,169.52,$-5.60,0.0
2021-03-31,141.19,$-5.76,0.0
2020-12-31,129.97,$-5.96,0.0
2020-09-30,145.6,$-6.80,0.0
2020-06-30,148.11,$-7.79,0.0
2020-03-31,108.85,$-3.98,0.0
2019-12-31,115.17,$-3.83,0.0
2019-09-30,80.42,$-3.57,0.0
2019-06-30,72.56,$-3.53,0.0
2019-03-31,93.45,$-7.29,0.0
2018-12-31,72.91,$-6.85,0.0
2018-09-30,87.52,$-6.40,0.0
2018-06-30,98.49,$-5.67,0.0
2018-03-31,119.1,$-5.56,0.0
2017-12-31,127.05,$-5.38,0.0
2017-09-30,117.49,$-5.11,0.0
2017-06-30,79.76,$-4.98,0.0
2017-03-31,51.25,$-4.92,0.0
2016-12-31,37.44,$-4.35,0.0
2016-09-30,67.78,$-3.88,0.0
2016-06-30,55.49,$-3.48,0.0
2016-03-31,62.77,$-3.07,0.0
2015-12-31,94.14,$-2.41,0.0
2015-09-30,80.36,$-2.32,0.0
2015-06-30,119.87,$-2.17,0.0
2015-03-31,104.42,$-2.08,0.0
2014-12-31,97.0,$-2.35,0.0
2014-09-30,78.1,$-2.15,0.0
2014-06-30,63.17,$-1.94,0.0
2014-03-31,67.14,$-1.75,0.0
2013-12-31,64.3,$-1.18,0.0
2013-09-30,64.01,$-2.20,0.0
2013-06-30,31.0,$-1.85,0.0
2013-03-31,24.37,$-1.85,0.0
2012-12-31,18.25,$-2.47,0.0
2012-09-30,18.79,$-1.67,0.0
2012-06-30,11.65,$-2.35,0.0
2012-03-31,11.07,$-2.59,0.0
2011-12-31,8.15,$-2.08,0.0
2011-09-30,6.57,$-1.98,0.0
2011-06-30,9.37,$-1.90,0.0
2011-03-31,9.56,$-1.87,0.0
2010-12-31,9.86,$-2.12,0.0
2010-09-30,12.27,$-2.04,0.0
2010-06-30,15.02,$-1.96,0.0
2010-03-31,17.02,$-2.23,0.0
2009-12-31,17.62,$-1.85,0.0
