Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data,Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data,Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data,Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.7,,10.12
2024-06-30,35.02,$3.53,9.93
2024-03-31,37.12,$3.09,12.01
2023-12-31,31.54,$2.50,12.61
2023-09-30,30.76,$2.29,13.46
2023-06-30,26.49,$3.17,8.35
2023-03-31,25.74,$4.29,6.0
2022-12-31,25.5,$4.77,5.34
2022-09-30,21.14,$4.77,4.43
2022-06-30,23.62,$4.17,5.66
2022-03-31,26.99,$3.25,8.3
2021-12-31,18.22,$3.36,5.43
2021-09-30,15.58,$2.46,6.34
2021-06-30,15.31,$1.80,8.5
2021-03-31,12.89,$0.97,13.29
2020-12-31,9.91,$0.68,14.57
2020-09-30,6.51,$0.97,6.73
2020-06-30,6.96,$1.06,6.57
2020-03-31,5.32,$1.92,2.78
2019-12-31,12.23,$1.65,7.42
2019-09-30,9.98,$1.31,7.64
2019-06-30,9.99,$1.46,6.82
2019-03-31,10.08,$1.36,7.4
2018-12-31,8.76,$1.79,4.89
2018-09-30,11.75,$1.79,6.55
2018-06-30,12.87,$1.27,10.09
2018-03-31,11.14,$1.01,11.01
2017-12-31,12.54,$0.84,14.99
2017-09-30,11.68,$0.93,12.51
2017-06-30,9.99,$0.71,14.05
2017-03-31,11.28,$0.30,37.39
2016-12-31,10.9,$-0.12,0.0
2016-09-30,10.89,$-0.08,0.0
2016-06-30,10.41,$0.13,82.59
2016-03-31,9.06,$0.28,32.77
2015-12-31,7.28,$0.42,17.48
2015-09-30,6.44,$0.25,25.53
2015-06-30,8.91,$0.20,45.16
2015-03-31,10.02,$-1.02,0.0
2014-12-31,10.01,$-1.22,0.0
2014-09-30,12.51,$-1.23,0.0
2014-06-30,14.71,$-1.10,0.0
2014-03-31,12.23,$0.11,113.6
2013-12-31,10.73,$0.07,159.18
2013-09-30,9.91,$-0.06,0.0
2013-06-30,8.88,$-0.31,0.0
2013-03-31,10.05,$-0.15,0.0
2012-12-31,8.99,$0.05,187.77
2012-09-30,9.56,$0.32,30.12
2012-06-30,8.31,$-1.11,0.0
2012-03-31,10.22,$0.17,60.43
2011-12-31,11.48,$0.02,591.8
2011-09-30,8.97,$-0.36,0.0
2011-06-30,12.79,$1.42,8.99
2011-03-31,15.07,$0.25,60.68
2010-12-31,13.52,$0.43,31.68
2010-09-30,10.51,$0.89,11.77
2010-06-30,10.07,$1.01,10.0
2010-03-31,11.2,$1.07,10.46
2009-12-31,10.86,$1.16,9.35
