IDACORP Price to Free Cash Flow Ratio Historical Data,IDACORP Price to Free Cash Flow Ratio Historical Data,IDACORP Price to Free Cash Flow Ratio Historical Data,IDACORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,103.83,,0.0
2024-06-30,92.39,$-2.58,0.0
2023-12-31,95.82,$-6.77,0.0
2023-09-30,90.48,$-3.86,0.0
2023-06-30,98.36,$-6.87,0.0
2023-03-31,103.11,$-5.68,0.0
2022-12-31,101.89,$-2.13,0.0
2024-03-31,91.34,$-3.67,0.0
2022-09-30,92.83,$-1.57,0.0
2022-06-30,98.64,$-1.03,0.0
2022-03-31,106.65,$-0.34,0.0
2021-12-31,104.04,$1.58,66.03
2021-09-30,94.24,$2.89,32.63
2020-12-31,85.67,$1.53,56.12
2020-09-30,70.72,$2.37,29.88
2020-06-30,76.77,$-0.33,0.0
2020-03-31,76.57,$0.24,324.99
2019-12-31,92.59,$1.83,50.72
2021-06-30,88.29,$0.77,114.81
2019-09-30,97.06,$2.65,36.57
2019-06-30,85.99,$3.66,23.52
2019-03-31,85.23,$3.66,23.31
2018-12-31,79.16,$4.23,18.7
2018-09-30,83.86,$3.54,23.68
2018-06-30,77.46,$3.37,23.01
2018-03-31,73.67,$2.67,27.61
2017-12-31,75.71,$2.97,25.51
2017-09-30,72.41,$2.19,33.06
2017-06-30,69.84,$1.42,49.16
2017-03-31,67.44,$1.50,45.0
2016-12-31,65.02,$0.94,69.33
2016-09-30,62.74,$1.58,39.65
2016-06-30,64.78,$1.23,52.66
2016-03-31,58.98,$0.87,67.96
2015-12-31,53.38,$1.18,45.37
2015-09-30,50.41,$0.60,83.83
2015-06-30,43.41,$1.46,29.76
2015-03-31,48.23,$1.58,30.47
2014-12-31,50.43,$1.80,28.05
2014-09-30,40.55,$1.83,22.21
2014-06-30,43.39,$1.77,24.53
2014-03-31,41.29,$1.89,21.88
2013-12-31,38.27,$1.17,32.58
2013-09-30,35.43,$1.95,18.15
2013-06-30,34.71,$1.09,31.74
2013-03-31,34.81,$0.44,78.3
2012-12-31,31.01,$0.19,163.55
2012-09-30,30.69,$-0.03,0.0
2012-06-30,29.61,$-0.77,0.0
2012-03-31,28.7,$-0.59,0.0
2011-12-31,29.37,$-0.56,0.0
2011-09-30,25.97,$-0.77,0.0
2011-06-30,26.94,$-1.70,0.0
2011-03-31,25.79,$-1.12,0.0
2010-12-31,24.83,$-0.29,0.0
2010-09-30,23.92,$0.45,53.63
2010-06-30,21.97,$1.56,14.05
2010-03-31,22.68,$2.59,8.75
2009-12-31,20.73,$2.31,8.97
2021-03-31,89.9,$1.59,56.42
