Sanofi Price to Free Cash Flow Ratio Historical Data,Sanofi Price to Free Cash Flow Ratio Historical Data,Sanofi Price to Free Cash Flow Ratio Historical Data,Sanofi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.86,,24.77
2024-06-30,48.52,$2.22,21.9
2024-03-31,46.65,$3.55,13.13
2023-12-31,47.73,$3.55,13.43
2023-09-30,51.49,$4.11,12.52
2023-06-30,51.74,$5.51,9.38
2023-03-31,50.34,$4.11,12.24
2022-12-31,44.8,$4.11,10.89
2022-03-31,45.96,0,0.0
2021-09-30,43.16,0,0.0
2021-03-31,42.66,0,0.0
2020-09-30,43.27,0,0.0
2020-03-31,36.39,0,0.0
2019-09-30,38.56,$2.66,14.51
2019-03-31,35.37,$1.78,19.82
2018-03-31,30.56,$2.66,11.5
2017-12-31,32.79,$2.66,12.34
2017-09-30,37.97,$2.55,14.91
2017-06-30,36.53,$2.78,13.14
2017-03-31,33.37,$2.55,13.11
2016-12-31,29.83,$2.55,11.71
2016-09-30,28.17,$-1.09,0.0
2016-06-30,30.87,$-0.44,0.0
2016-03-31,28.41,$-0.78,0.0
2015-09-30,33.58,0,0.0
2015-06-30,35.04,$-0.68,0.0
2014-06-30,36.43,$1.08,33.64
2013-06-30,34.07,$0.78,43.74
2022-06-30,46.28,$4.13,11.19
2012-06-30,24.14,$4.15,5.82
2012-03-31,23.66,$4.13,5.72
2011-12-31,22.31,$4.13,5.4
2011-09-30,20.02,$4.23,4.73
2011-06-30,24.52,$4.24,5.78
2011-03-31,20.78,$4.23,4.91
2010-12-31,19.02,$4.23,4.49
2010-09-30,19.62,$3.64,5.4
2010-06-30,17.74,$3.51,5.06
2010-03-31,21.27,$3.64,5.85
2009-12-31,22.35,$3.64,6.15
2009-09-30,21.03,0,0.0
