Ovintiv Price to Free Cash Flow Ratio Historical Data,Ovintiv Price to Free Cash Flow Ratio Historical Data,Ovintiv Price to Free Cash Flow Ratio Historical Data,Ovintiv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.31,,9.09
2024-06-30,46.51,$4.54,10.24
2024-03-31,51.17,$3.79,13.49
2023-12-31,43.05,$5.39,7.98
2023-09-30,46.3,$4.56,10.15
2023-06-30,36.83,$6.37,5.78
2023-03-31,34.62,$8.82,3.93
2022-12-31,48.33,$7.88,6.14
2022-09-30,43.63,$7.02,6.21
2022-06-30,41.72,$6.91,6.04
2022-03-31,50.81,$5.16,9.85
2021-12-31,31.53,$6.04,5.22
2021-09-30,30.63,$6.39,4.79
2021-06-30,29.17,$5.23,5.58
2021-03-31,22.01,$3.27,6.74
2020-12-31,13.23,$0.61,21.61
2020-09-30,7.47,$-0.23,0.0
2020-06-30,8.65,$0.59,14.54
2020-03-31,2.42,$0.27,9.06
2019-12-31,20.29,$2.22,9.14
2019-09-30,19.81,$3.50,5.65
2019-03-31,30.94,$1.50,20.64
2018-12-31,24.63,$1.69,14.55
2018-09-30,55.74,$-3.05,0.0
2018-06-30,55.42,$-2.01,0.0
2018-03-31,46.66,$-1.97,0.0
2017-12-31,56.46,$-2.33,0.0
2019-06-30,22.0,$-0.18,0.0
2017-09-30,49.83,$-3.93,0.0
2017-06-30,37.17,$-3.43,0.0
2017-03-31,49.39,$-3.19,0.0
2016-12-31,49.45,$-2.87,0.0
2016-09-30,44.05,$-1.05,0.0
2016-06-30,32.72,$-1.06,0.0
2016-03-31,25.53,$-2.77,0.0
2015-12-31,21.28,$-3.25,0.0
2015-09-30,26.62,$-8.29,0.0
2015-06-30,45.11,$-7.50,0.0
2015-03-31,45.39,$-3.64,0.0
2014-12-31,56.1,$0.95,58.98
2014-09-30,85.32,$3.25,26.22
2014-06-30,95.08,$4.58,20.76
2014-03-31,85.48,$2.77,30.88
2013-12-31,71.92,$-2.86,0.0
2013-09-30,68.78,$-1.57,0.0
2013-06-30,66.47,$-1.10,0.0
2013-03-31,75.5,$-1.80,0.0
2012-12-31,75.86,$-2.51,0.0
2012-09-30,83.35,$-1.25,0.0
2012-06-30,78.52,$-2.68,0.0
2012-03-31,73.34,$-2.61,0.0
2011-12-31,68.48,$-3.62,0.0
2011-09-30,70.23,$-5.58,0.0
2011-06-30,111.6,$-7.26,0.0
2011-03-31,124.36,$-8.64,0.0
2010-12-31,104.2,$-16.35,0.0
2010-09-30,107.42,$-9.93,0.0
2010-06-30,107.08,$-1.94,0.0
2010-03-31,108.87,$6.26,17.39
2009-12-31,112.97,$20.02,5.64
