East West Bancorp Price to Free Cash Flow Ratio Historical Data,East West Bancorp Price to Free Cash Flow Ratio Historical Data,East West Bancorp Price to Free Cash Flow Ratio Historical Data,East West Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.07,,8.93
2024-06-30,72.73,$10.42,6.98
2024-03-31,78.0,$10.37,7.52
2023-12-31,70.38,$10.04,7.01
2023-09-30,51.1,$9.19,5.56
2023-06-30,50.79,$11.36,4.47
2023-03-31,52.9,$14.07,3.76
2022-12-31,62.43,$14.50,4.31
2022-09-30,63.26,$14.33,4.41
2022-06-30,60.71,$11.87,5.12
2022-03-31,73.62,$7.76,9.49
2021-12-31,72.97,$8.16,8.94
2021-09-30,71.62,$7.01,10.21
2021-06-30,65.91,$5.76,11.45
2021-03-31,67.56,$6.62,10.21
2020-12-31,46.19,$4.84,9.54
2020-09-30,29.6,$5.39,5.49
2020-06-30,32.51,$4.91,6.63
2020-03-31,22.9,$4.64,4.93
2019-12-31,43.08,$4.95,8.7
2019-09-30,38.93,$3.88,10.02
2019-06-30,40.87,$4.99,8.19
2019-03-31,41.7,$5.41,7.71
2018-12-31,37.67,$5.96,6.32
2018-09-30,52.01,$4.92,10.57
2018-06-30,55.97,$5.08,11.02
2018-03-31,53.53,$4.96,10.79
2017-12-31,51.91,$5.55,9.36
2017-09-30,50.84,$6.90,7.37
2017-06-30,49.65,$5.97,8.32
2017-03-31,43.58,$5.27,8.28
2016-12-31,42.76,$4.45,9.61
2016-09-30,30.73,$3.20,9.61
2016-06-30,28.44,$3.11,9.13
2016-03-31,26.89,$3.64,7.39
2015-12-31,34.19,$3.25,10.51
2015-09-30,31.45,$3.96,7.94
2015-06-30,36.53,$4.42,8.26
2015-03-31,32.82,$3.27,10.03
2014-12-31,31.23,$2.74,11.41
2014-09-30,27.29,$2.63,10.38
2014-06-30,27.94,$1.68,16.62
2014-03-31,28.99,$2.20,13.21
2013-12-31,27.63,$2.42,11.42
2013-09-30,25.14,$2.20,11.43
2013-06-30,21.53,$2.68,8.05
2013-03-31,19.97,$1.93,10.35
2012-12-31,16.62,$2.01,8.26
2012-09-30,16.25,$1.64,9.91
2012-06-30,17.97,$-0.20,0.0
2012-03-31,17.61,$1.27,13.91
2011-12-31,14.99,$1.66,9.06
2011-09-30,11.29,$2.55,4.43
2011-06-30,15.26,$4.64,3.29
2011-03-31,16.54,$4.49,3.68
2010-12-31,14.72,$3.12,4.72
2010-09-30,12.25,$1.50,8.17
2010-06-30,11.47,$2.28,5.02
2009-12-31,11.87,$1.84,6.47
2009-09-30,6.23,$3.41,1.83
