H&R Block Price to Free Cash Flow Ratio Historical Data,H&R Block Price to Free Cash Flow Ratio Historical Data,H&R Block Price to Free Cash Flow Ratio Historical Data,H&R Block Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,61.64,,13.5
2024-06-30,53.91,$4.57,11.8
2024-03-31,48.82,$4.53,10.77
2023-12-31,47.78,$3.27,14.62
2023-09-30,42.25,$4.53,9.34
2023-06-30,31.01,$4.78,6.48
2023-03-31,33.99,$5.26,6.46
2022-12-31,34.92,$4.52,7.73
2022-09-30,40.41,$4.08,9.91
2022-06-30,33.34,$4.35,7.65
2022-03-31,24.4,$-1.10,0.0
2021-12-31,21.83,$-7.97,0.0
2021-09-30,22.9,$3.37,6.79
2021-06-30,21.28,$4.01,5.3
2021-04-30,19.95,$4.56,4.37
2021-03-31,19.54,$3.05,6.4
2021-01-31,15.25,$-5.22,0.0
2020-12-31,14.04,$-4.16,0.0
2020-10-31,15.06,$6.23,2.42
2020-09-30,14.22,$2.99,4.76
2020-07-31,12.43,$2.32,5.36
2020-04-30,14.02,0,0.0
2020-01-31,19.22,$-0.96,0.0
2019-10-31,20.47,$-1.85,0.0
2019-07-31,22.44,$-2.47,0.0
2019-04-30,21.85,$6.87,3.18
2019-01-31,18.75,$-3.57,0.0
2018-07-31,19.62,$0.16,119.66
2018-04-30,21.34,$0.00,0.0
2018-01-31,20.31,$0.27,74.6
2017-10-31,18.76,$0.00,0.0
2017-07-31,22.92,$1.52,15.07
2017-04-30,18.48,$2.11,8.78
2017-01-31,15.85,$-7.14,0.0
2018-10-31,20.9,$3.06,6.83
2016-10-31,16.8,$-1.14,0.0
2016-07-31,17.23,$-0.70,0.0
2016-04-30,14.52,0,0.0
2016-01-31,24.26,$-1.55,0.0
2015-10-31,26.4,$0.13,203.37
2015-07-31,23.45,$0.08,290.61
2015-04-30,21.16,$0.00,0.0
2015-01-31,23.84,$-0.35,0.0
2014-10-31,22.34,$-0.42,0.0
2014-07-31,22.08,$-0.19,0.0
2014-04-30,19.41,$-0.00,0.0
2014-01-31,20.63,$0.64,32.24
2013-10-31,19.16,$0.20,95.67
2013-07-31,21.02,$0.10,207.92
2013-04-30,18.43,0,0.0
2013-01-31,15.02,$-0.22,0.0
2012-10-31,11.55,$-0.24,0.0
2012-07-31,10.4,$-0.07,0.0
2012-04-30,9.35,0,0.0
2012-01-31,10.28,$-8.17,0.0
2011-10-31,9.48,$-6.06,0.0
2011-07-31,9.18,$-6.43,0.0
2011-01-31,7.53,$3.01,2.5
2010-10-31,7.01,$0.47,15.04
2010-07-31,9.22,$0.27,34.3
2010-04-30,10.66,0,0.0
2010-01-31,12.42,$-15.49,0.0
2009-10-31,10.5,$-9.74,0.0
2009-07-31,9.47,$-8.76,0.0
