Korea Electric Power Price to Free Cash Flow Ratio Historical Data,Korea Electric Power Price to Free Cash Flow Ratio Historical Data,Korea Electric Power Price to Free Cash Flow Ratio Historical Data,Korea Electric Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.46,,18.86
2024-06-30,7.09,$0.40,17.93
2024-03-31,8.33,$-1.64,0.0
2023-12-31,7.25,$-7.52,0.0
2023-09-30,6.44,$-13.74,0.0
2023-06-30,7.75,$-16.98,0.0
2023-03-31,6.94,$-19.63,0.0
2022-12-31,8.64,$-19.19,0.0
2022-09-30,6.8,$-15.95,0.0
2022-06-30,8.78,$-14.27,0.0
2022-03-31,9.31,$-10.79,0.0
2021-12-31,9.14,$-5.55,0.0
2021-09-30,9.87,$-2.17,0.0
2021-06-30,10.8,$-0.18,0.0
2021-03-31,10.26,$0.90,11.35
2020-12-31,12.27,$0.16,76.02
2020-09-30,8.34,$-1.96,0.0
2020-06-30,7.64,$-2.35,0.0
2020-03-31,7.23,$-2.69,0.0
2019-12-31,11.33,$-3.28,0.0
2019-09-30,10.38,$-3.07,0.0
2019-06-30,10.63,$-3.07,0.0
2019-03-31,12.46,$-4.00,0.0
2018-12-31,14.13,$-3.79,0.0
2018-09-30,12.61,$-1.94,0.0
2018-06-30,13.73,$-1.52,0.0
2018-03-31,14.74,$-0.43,0.0
2017-12-31,16.96,$-0.84,0.0
2017-09-30,15.72,$2.21,7.12
2017-06-30,16.86,$0.74,22.89
2017-03-31,19.45,$3.50,5.55
2016-09-30,21.85,$3.81,5.74
2016-06-30,23.24,$5.54,4.2
2016-03-31,23.08,$7.37,3.13
2015-12-31,18.97,$8.93,2.13
2015-09-30,18.36,$13.93,1.32
2015-06-30,18.25,$7.64,2.39
2015-03-31,18.37,$7.72,2.38
2016-12-31,17.34,$3.23,5.36
2014-12-31,17.35,$-1.91,0.0
2014-09-30,20.11,$-1.55,0.0
2014-06-30,16.49,$-3.81,0.0
2014-03-31,15.39,$-5.14,0.0
2013-12-31,14.89,$-5.36,0.0
2013-09-30,12.55,$-3.66,0.0
2013-06-30,10.11,$-3.07,0.0
2013-03-31,12.15,$-0.16,0.0
2012-12-31,12.49,0,0.0
2012-09-30,11.11,0,0.0
2012-06-30,10.0,0,0.0
2012-03-31,8.7,0,0.0
2011-12-31,9.82,$-2.89,0.0
2010-12-31,12.08,$-2.89,0.0
2010-03-31,14.52,$-2.89,0.0
