Smartsheet Price to Free Cash Flow Ratio Historical Data,Smartsheet Price to Free Cash Flow Ratio Historical Data,Smartsheet Price to Free Cash Flow Ratio Historical Data,Smartsheet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.06,,45.58
2024-07-31,47.96,$1.23,39.0
2024-04-30,37.83,$1.17,32.3
2024-01-31,44.97,$1.07,41.84
2023-10-31,39.54,$0.78,50.72
2023-07-31,44.4,$0.67,66.72
2023-04-30,40.87,$0.38,106.68
2023-01-31,43.21,$0.08,561.9
2022-10-31,34.92,$-0.07,0.0
2022-07-31,30.06,$-0.09,0.0
2022-04-30,48.33,$-0.17,0.0
2022-01-31,62.22,$-0.17,0.0
2021-10-31,69.01,$-0.03,0.0
2021-07-31,72.55,$-0.05,0.0
2021-04-30,59.3,$-0.05,0.0
2021-01-31,69.74,$-0.22,0.0
2020-10-31,49.85,$-0.35,0.0
2020-07-31,47.74,$-0.30,0.0
2020-04-30,52.72,$-0.32,0.0
2020-01-31,48.48,$-0.20,0.0
2019-10-31,39.4,$-0.18,0.0
2019-07-31,49.91,$-0.18,0.0
2019-04-30,42.33,$0.17,245.68
2019-01-31,31.38,$-0.14,0.0
