Waste Connections Price to Free Cash Flow Ratio Historical Data,Waste Connections Price to Free Cash Flow Ratio Historical Data,Waste Connections Price to Free Cash Flow Ratio Historical Data,Waste Connections Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,182.43,,35.83
2024-06-30,175.08,$5.09,34.39
2024-03-31,171.44,$4.95,34.65
2023-12-31,148.53,$4.74,31.31
2023-09-30,133.34,$4.64,28.72
2023-06-30,141.65,$4.44,31.87
2023-03-31,137.58,$4.29,32.08
2022-12-31,130.89,$4.42,29.61
2022-09-30,133.18,$4.25,31.32
2022-06-30,121.97,$3.97,30.7
2022-03-31,137.21,$3.82,35.96
2021-12-31,133.6,$3.81,35.08
2021-09-30,123.25,$3.27,37.73
2021-06-30,116.7,$3.31,35.24
2021-03-31,105.33,$3.17,33.28
2020-12-31,99.85,$2.89,34.51
2020-09-30,100.85,$3.28,30.75
2020-06-30,90.96,$3.25,28.01
2020-03-31,75.0,$3.26,22.99
2019-12-31,87.7,$3.32,26.42
2019-09-30,88.68,$3.50,25.35
2019-06-30,91.97,$3.42,26.86
2019-03-31,85.1,$3.42,24.89
2018-12-31,71.19,$3.29,21.62
2018-09-30,76.32,$3.05,24.99
2018-06-30,71.9,$3.15,22.85
2018-03-31,68.39,$2.79,24.5
2017-12-31,67.49,$2.79,24.22
2017-09-30,66.43,$2.95,22.52
2017-06-30,61.05,$2.66,22.92
2017-03-31,55.63,$2.20,25.32
2016-12-31,49.46,$1.97,25.11
2016-09-30,46.9,$1.78,26.41
2016-06-30,45.14,$1.64,27.55
2016-03-31,40.42,$2.34,17.26
2015-12-31,35.17,$2.10,16.73
2015-09-30,30.28,$4.84,6.26
2015-06-30,29.29,$4.89,5.99
2015-03-31,29.84,$4.81,6.2
2014-12-31,27.2,$4.84,5.62
2014-09-30,29.91,$2.56,11.68
2014-06-30,29.84,$2.42,12.33
2014-03-31,26.88,$2.34,11.47
2013-12-31,26.65,$2.38,11.19
2013-09-30,27.57,$-0.97,0.0
2013-06-30,24.84,$-1.28,0.0
2013-03-31,21.6,$-1.08,0.0
2012-12-31,20.15,$-1.31,0.0
2012-09-30,17.91,$1.82,9.83
2012-06-30,17.58,$2.83,6.21
2012-03-31,18.97,$2.50,7.6
2011-12-31,19.19,$2.67,7.18
2011-09-30,19.46,$2.53,7.7
2011-06-30,18.14,$1.52,11.97
2011-03-31,16.35,$1.77,9.26
2010-12-31,15.52,$1.75,8.85
2010-09-30,14.8,$1.61,9.21
2010-06-30,13.02,$2.17,6.0
2010-03-31,12.63,$1.77,7.15
2009-12-31,12.36,$2.05,6.02
