Northern Oil And Gas Price to Free Cash Flow Ratio Historical Data,Northern Oil And Gas Price to Free Cash Flow Ratio Historical Data,Northern Oil And Gas Price to Free Cash Flow Ratio Historical Data,Northern Oil And Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.84,,10.81
2024-06-30,36.73,$3.50,10.49
2023-12-31,35.88,$-7.19,0.0
2023-09-30,38.54,$-11.69,0.0
2023-06-30,32.57,$-7.86,0.0
2023-03-31,28.49,$-7.52,0.0
2022-12-31,28.61,$-3.74,0.0
2024-03-31,38.8,$-2.34,0.0
2022-09-30,25.19,$-3.80,0.0
2022-06-30,23.01,$-4.45,0.0
2022-03-31,25.51,$-7.06,0.0
2021-12-31,18.53,$-3.13,0.0
2021-09-30,19.19,$-0.62,0.0
2021-06-30,18.59,$0.24,78.56
2021-03-31,10.79,$1.70,6.35
2020-12-31,7.83,$1.12,7.01
2020-09-30,5.13,$-1.96,0.0
2020-06-30,7.5,$-6.63,0.0
2020-03-31,5.92,$-6.57,0.0
2019-12-31,20.91,$-5.93,0.0
2019-09-30,17.51,$-8.05,0.0
2019-06-30,17.24,$-3.82,0.0
2019-03-31,24.48,$-7.25,0.0
2018-12-31,20.19,$-9.72,0.0
2018-09-30,35.74,$-11.24,0.0
2018-06-30,28.15,$-10.24,0.0
2018-03-31,17.69,$-10.85,0.0
2017-12-31,18.32,$-7.41,0.0
2017-09-30,8.04,$-4.98,0.0
2017-06-30,12.51,$-3.57,0.0
2017-03-31,23.23,$-2.46,0.0
2016-12-31,24.57,$1.79,13.76
2016-09-30,23.95,$7.89,3.04
2016-06-30,41.28,$8.98,4.6
2016-03-31,35.65,$6.04,5.9
2015-12-31,34.49,$-6.91,0.0
2015-09-30,39.49,$-20.56,0.0
2015-06-30,60.49,$-29.40,0.0
2015-03-31,68.89,$-32.95,0.0
2014-12-31,50.48,$-33.32,0.0
2014-09-30,127.06,$-28.12,0.0
2014-06-30,145.55,$-26.17,0.0
2014-03-31,130.63,$-26.09,0.0
2013-12-31,134.65,$-21.64,0.0
2013-09-30,128.93,$-23.94,0.0
2013-06-30,119.19,$-33.41,0.0
2013-03-31,128.49,$-39.19,0.0
2012-12-31,150.29,$-53.07,0.0
2012-09-30,151.81,$-55.70,0.0
2012-06-30,142.43,$-53.75,0.0
2012-03-31,185.32,$-46.92,0.0
2011-12-31,214.27,$-40.46,0.0
2011-09-30,173.25,$-38.15,0.0
2011-06-30,197.91,$-32.25,0.0
2011-03-31,238.57,$-29.78,0.0
2010-12-31,243.13,$-21.43,0.0
2010-09-30,151.36,$-17.38,0.0
2010-06-30,114.73,$-13.29,0.0
2010-03-31,141.62,$-10.71,0.0
2009-12-31,105.79,$-10.11,0.0
