COPT Defense Properties Price to Free Cash Flow Ratio Historical Data,COPT Defense Properties Price to Free Cash Flow Ratio Historical Data,COPT Defense Properties Price to Free Cash Flow Ratio Historical Data,COPT Defense Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.42,,31.88
2024-06-30,24.79,$1.02,24.37
2024-03-31,23.66,$0.50,47.59
2023-12-31,24.78,$1.79,13.84
2023-09-30,22.79,$2.38,9.58
2023-06-30,22.45,$2.06,10.89
2023-03-31,22.14,$2.30,9.64
2022-12-31,23.93,$2.34,10.22
2022-09-30,21.2,$1.52,13.91
2022-06-30,23.62,$1.77,13.34
2022-03-31,25.48,$2.87,8.88
2021-12-31,24.73,$1.11,22.36
2021-09-30,23.63,$2.14,11.04
2021-06-30,24.27,$1.49,16.28
2021-03-31,22.6,$-0.08,0.0
2020-12-31,22.16,$-0.20,0.0
2020-09-30,19.94,$-1.24,0.0
2020-06-30,21.05,$-0.95,0.0
2020-03-31,18.19,$-0.38,0.0
2019-12-31,23.85,$-0.52,0.0
2019-09-30,23.95,$-0.35,0.0
2019-06-30,21.02,$0.07,314.15
2019-03-31,21.53,$-0.30,0.0
2018-12-31,16.43,$0.20,83.46
2018-09-30,23.0,$0.69,33.18
2018-06-30,22.14,$1.38,16.06
2018-03-31,19.54,$1.43,13.68
2017-12-31,21.86,$2.12,10.3
2017-09-30,24.34,$2.38,10.24
2017-06-30,25.76,$4.30,6.0
2017-03-31,24.15,$4.70,5.14
2016-12-31,22.59,$4.00,5.64
2016-09-30,20.33,$4.68,4.34
2016-06-30,21.01,$2.01,10.45
2016-03-31,18.46,$1.78,10.35
2015-12-31,15.2,$1.67,9.09
2015-09-30,14.46,$0.19,76.9
2015-06-30,15.98,$0.83,19.28
2015-03-31,19.72,$0.45,44.13
2014-12-31,18.87,$0.58,32.47
2014-09-30,16.94,$2.24,7.56
2014-06-30,18.13,$1.52,11.89
2014-03-31,17.19,$1.31,13.13
2013-12-31,15.13,$1.24,12.19
2013-09-30,14.58,$-0.60,0.0
2013-06-30,15.91,$1.64,9.71
2013-03-31,16.46,$3.38,4.87
2012-12-31,15.25,$4.32,3.53
2012-09-30,14.47,$5.02,2.88
2012-06-30,14.03,$2.37,5.91
2012-03-31,13.68,$1.12,12.23
2011-12-31,12.38,$-0.01,0.0
2011-09-30,12.44,$-0.53,0.0
2011-06-30,17.44,$-1.79,0.0
2011-03-31,19.99,$-2.05,0.0
2010-12-31,19.11,$-1.99,0.0
2010-09-30,20.17,$-1.52,0.0
2010-06-30,20.19,$-0.34,0.0
2010-03-31,21.24,$-0.24,0.0
2009-12-31,19.21,$0.33,58.51
