BGC Price to Free Cash Flow Ratio Historical Data,BGC Price to Free Cash Flow Ratio Historical Data,BGC Price to Free Cash Flow Ratio Historical Data,BGC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.49,,10.91
2024-06-30,8.3,$0.87,9.54
2024-03-31,7.77,$0.71,10.92
2023-12-31,7.22,$0.70,10.25
2023-09-30,5.28,$0.54,9.69
2023-06-30,4.43,$-0.01,0.0
2023-03-31,5.22,$0.40,13.2
2022-12-31,3.75,$0.33,11.32
2022-09-30,3.12,$0.17,18.69
2022-06-30,3.34,$0.43,7.76
2022-03-31,4.35,$0.57,7.57
2021-12-31,4.58,$0.67,6.8
2021-09-30,5.12,$0.90,5.7
2021-06-30,5.57,$0.65,8.5
2021-03-31,4.73,$0.60,7.85
2020-12-31,3.91,$0.40,9.83
2020-09-30,2.34,$0.21,11.14
2020-06-30,2.66,$0.32,8.39
2020-03-31,2.44,$0.30,8.23
2019-12-31,5.6,$0.30,18.4
2019-09-30,5.05,$1.13,4.46
2019-06-30,4.68,$0.83,5.65
2019-03-31,4.61,$0.32,14.56
2018-12-31,4.38,$-0.28,0.0
2018-09-30,9.86,$-1.65,0.0
2018-06-30,9.3,$-0.82,0.0
2018-03-31,10.89,$-0.51,0.0
2017-12-31,12.07,$1.15,10.49
2017-09-30,11.42,$2.32,4.93
2017-06-30,9.84,$1.55,6.34
2017-03-31,8.7,$0.90,9.67
2016-12-31,7.73,$-0.52,0.0
2016-09-30,6.5,$0.81,7.98
2016-06-30,6.36,$1.11,5.75
2016-03-31,6.49,$1.91,3.4
2015-12-31,6.92,$2.19,3.15
2015-09-30,5.71,$0.66,8.69
2015-06-30,5.99,$0.49,12.18
2015-03-31,6.37,$0.45,14.31
2014-12-31,6.09,$0.63,9.61
2014-09-30,4.88,$0.37,13.2
2014-06-30,4.81,$0.34,14.16
2014-03-31,4.16,$0.40,10.52
2013-12-31,3.78,$0.40,9.37
2013-09-30,3.45,$0.26,13.46
2013-06-30,3.53,$0.34,10.53
2013-03-31,2.44,$0.06,42.82
2012-12-31,1.97,$0.37,5.32
2012-09-30,2.7,$0.50,5.41
2012-06-30,3.12,$-0.00,0.0
2011-12-31,3.01,$0.36,8.31
2011-09-30,2.98,$0.21,14.03
2011-06-30,3.72,$-0.04,0.0
2011-03-31,4.39,$0.26,17.05
2010-12-31,3.87,$0.27,14.24
2012-03-31,3.83,$-0.37,0.0
2010-09-30,2.73,$0.06,49.07
2010-06-30,2.28,$0.40,5.69
2010-03-31,2.66,$0.51,5.26
2009-12-31,1.99,$1.56,1.27
