Tanger Price to Free Cash Flow Ratio Historical Data,Tanger Price to Free Cash Flow Ratio Historical Data,Tanger Price to Free Cash Flow Ratio Historical Data,Tanger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.45,,0.0
2024-06-30,26.85,$-1.85,0.0
2024-03-31,28.97,$-2.02,0.0
2023-12-31,26.94,$-2.06,0.0
2023-09-30,21.7,$0.83,26.1
2023-06-30,20.97,$0.95,22.16
2023-03-31,18.41,$1.30,14.13
2022-12-31,16.63,$1.42,11.75
2022-09-30,12.53,$1.25,10.0
2022-06-30,12.86,$1.51,8.5
2022-03-31,15.36,$1.44,10.69
2021-12-31,17.04,$1.66,10.25
2021-09-30,14.26,$1.87,7.61
2021-06-30,16.32,$2.35,6.96
2021-03-31,12.97,$-1.45,0.0
2020-12-31,8.45,$-1.26,0.0
2020-09-30,5.11,$-1.32,0.0
2020-06-30,6.05,$-1.66,0.0
2019-12-31,11.67,$3.23,3.61
2019-09-30,12.01,$4.61,2.6
2019-06-30,12.3,$4.19,2.94
2019-03-31,15.62,$4.25,3.68
2018-12-31,14.83,$3.09,4.8
2020-03-31,4.05,$1.52,2.67
2018-09-30,16.53,$1.74,9.52
2018-06-30,16.72,$1.46,11.43
2018-03-31,15.42,$1.41,10.92
2017-12-31,18.33,$1.24,14.78
2017-09-30,16.64,$0.97,17.15
2017-06-30,17.48,$0.94,18.51
2017-03-31,21.81,$1.36,16.06
2016-12-31,23.59,$0.46,50.93
2016-09-30,25.44,$0.84,30.15
2016-06-30,26.03,$0.43,60.44
2015-12-31,20.81,$-0.20,0.0
2015-09-30,20.68,$0.54,38.02
2015-06-30,19.71,$0.49,39.97
2015-03-31,21.69,$0.83,26.1
2014-12-31,22.66,$0.75,30.15
2016-03-31,23.36,$1.06,22.03
2014-09-30,19.92,$1.07,18.55
2014-06-30,21.15,$1.37,15.41
2014-03-31,21.02,$1.42,14.77
2013-12-31,19.1,$1.40,13.61
2013-09-30,19.35,$1.24,15.65
2013-06-30,19.7,$1.12,17.61
2013-03-31,21.17,$1.25,16.92
2012-12-31,19.89,$1.34,14.81
2012-09-30,18.68,$1.14,16.42
2012-06-30,18.4,$-0.30,0.0
2012-03-31,16.95,$-2.08,0.0
2011-12-31,16.61,$-2.26,0.0
2011-09-30,14.62,$-2.35,0.0
2011-06-30,14.94,$-1.09,0.0
2011-03-31,14.54,$0.50,28.94
2010-12-31,14.08,$0.54,26.3
2010-09-30,12.86,$0.80,16.05
2010-06-30,11.19,$1.01,11.06
2010-03-31,11.57,$1.13,10.21
2009-12-31,10.35,$1.20,8.62
