Tower Semiconductor Price to Free Cash Flow Ratio Historical Data,Tower Semiconductor Price to Free Cash Flow Ratio Historical Data,Tower Semiconductor Price to Free Cash Flow Ratio Historical Data,Tower Semiconductor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.82,,16.07
2024-06-30,39.31,$2.73,14.42
2024-03-31,33.45,$2.60,12.88
2023-12-31,30.52,$2.20,13.89
2023-09-30,24.56,$2.86,8.6
2023-06-30,37.52,$1.13,33.16
2023-03-31,42.47,$2.06,20.63
2022-12-31,43.2,$2.86,15.13
2022-09-30,43.94,$0.43,101.08
2022-06-30,46.18,$1.92,24.11
2022-03-31,48.4,$1.45,33.36
2021-12-31,39.68,$1.29,30.67
2021-09-30,29.9,$0.94,31.81
2021-06-30,29.43,$0.78,37.65
2021-03-31,28.04,$0.48,58.23
2020-12-31,25.82,$0.18,139.87
2020-09-30,18.22,$0.36,50.04
2020-06-30,19.09,$0.62,30.68
2020-03-31,15.92,$0.85,18.74
2019-12-31,24.06,$1.11,21.7
2019-09-30,19.24,$1.54,12.53
2019-06-30,15.77,$1.63,9.7
2019-03-31,16.56,$1.71,9.71
2018-12-31,14.74,$1.79,8.24
2018-06-30,22.01,$1.68,13.09
2018-03-31,26.91,$1.72,15.63
2017-12-31,34.08,$1.77,19.21
2017-09-30,30.75,$1.56,19.68
2017-06-30,23.85,$1.19,20.03
2017-03-31,23.05,$1.09,21.17
2016-12-31,19.03,$0.96,19.79
2018-09-30,21.76,$0.98,22.14
2016-09-30,15.18,$0.60,25.3
2016-06-30,12.42,$0.42,29.68
2016-03-31,12.12,$0.34,35.46
2015-12-31,14.06,$-0.06,0.0
2015-09-30,12.87,$-1.39,0.0
2015-06-30,15.44,$0.24,64.33
2015-03-31,16.98,$0.52,32.79
2014-12-31,13.33,$0.72,18.63
2014-09-30,10.17,$1.61,6.32
2014-06-30,9.08,$0.49,18.47
2014-03-31,9.14,$-0.62,0.0
2013-12-31,5.84,$-0.62,0.0
2013-09-30,4.87,$-0.77,0.0
2013-06-30,4.78,$-3.55,0.0
2013-03-31,7.04,$-0.59,0.0
2012-12-31,7.95,$-0.59,0.0
2012-09-30,8.84,$0.03,333.58
2012-06-30,9.98,$3.46,2.88
2012-03-31,13.2,$-0.16,0.0
2011-12-31,9.45,$-0.16,0.0
2011-09-30,9.9,$0.33,29.82
2011-06-30,17.55,$0.65,27.07
2011-03-31,19.95,$2.33,8.55
2010-12-31,21.15,$1.95,10.84
2010-09-30,20.25,$3.25,6.24
2010-06-30,21.15,$1.34,15.79
2010-03-31,25.2,$0.79,31.87
2009-12-31,14.55,$0.71,20.53
