TotalEnergies SE Price to Free Cash Flow Ratio Historical Data,TotalEnergies SE Price to Free Cash Flow Ratio Historical Data,TotalEnergies SE Price to Free Cash Flow Ratio Historical Data,TotalEnergies SE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,65.0,,6.29
2024-06-30,65.84,$10.34,6.37
2024-03-31,67.11,$10.51,6.38
2023-12-31,64.94,$10.99,5.91
2023-09-30,62.62,$5.98,10.47
2023-06-30,54.24,$9.12,5.95
2023-03-31,54.81,$11.99,4.57
2022-12-31,56.88,$12.53,4.54
2022-09-30,41.39,$14.73,2.81
2022-06-30,46.2,$10.02,4.61
2022-03-31,43.8,$6.46,6.79
2021-12-31,42.25,$7.12,5.94
2021-09-30,40.33,$5.48,7.36
2021-06-30,37.44,$4.44,8.43
2021-03-31,37.87,$3.43,11.05
2020-12-31,33.54,$1.84,18.26
2020-09-30,26.94,$1.61,16.7
2020-06-30,29.52,$3.68,8.02
2020-03-31,28.03,$4.30,6.51
2019-12-31,40.23,$4.96,8.11
2019-09-30,37.83,$6.77,5.59
2019-06-30,40.12,$5.48,7.32
2019-03-31,39.49,$5.30,7.45
2018-12-31,36.57,$4.32,8.46
2018-09-30,44.63,$3.46,12.9
2018-06-30,41.56,$3.01,13.82
2018-03-31,39.14,$2.39,16.36
2017-12-31,37.01,$3.84,9.63
2017-09-30,35.35,$2.52,14.01
2017-06-30,32.32,$2.34,13.83
2017-03-31,32.43,$1.40,23.14
2016-12-31,32.78,$-0.05,0.0
2016-09-30,30.28,$-0.60,0.0
2016-06-30,30.54,$-0.51,0.0
2016-03-31,28.42,$-0.57,0.0
2015-12-31,27.71,$-1.09,0.0
2015-09-30,27.17,$-0.83,0.0
2015-06-30,29.42,$-0.19,0.0
2015-03-31,29.33,$-0.35,0.0
2014-12-31,29.83,$1.20,24.93
2014-09-30,37.01,$0.81,45.78
2014-06-30,40.97,$0.87,47.28
2014-03-31,36.79,$1.08,33.92
2013-12-31,33.93,$0.23,145.14
2013-09-30,31.63,$0.46,68.21
2013-06-30,26.33,$-0.15,0.0
2013-03-31,25.67,$1.45,17.71
2012-12-31,27.45,$2.25,12.18
2012-09-30,26.1,$-6.60,0.0
2012-06-30,23.15,$-3.47,0.0
2012-03-31,25.96,$2.01,12.93
2011-12-31,25.65,$1.86,13.78
2011-09-30,21.73,$10.25,2.12
2011-06-30,28.25,$8.36,3.38
2011-03-31,29.08,$2.55,11.39
2010-12-31,25.51,$3.66,6.97
2010-09-30,24.02,$3.09,7.78
2010-06-30,20.78,$2.44,8.52
2010-03-31,26.32,$0.80,32.9
2009-12-31,29.05,$0.41,71.27
