Huntsman Price to Free Cash Flow Ratio Historical Data,Huntsman Price to Free Cash Flow Ratio Historical Data,Huntsman Price to Free Cash Flow Ratio Historical Data,Huntsman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.5,,54.44
2024-06-30,22.51,$0.43,52.15
2024-03-31,25.46,$0.34,74.15
2023-12-31,24.34,$-0.12,0.0
2023-09-30,23.42,$0.49,48.0
2023-06-30,25.7,$1.07,24.09
2023-03-31,25.78,$1.98,13.02
2022-12-31,25.67,$3.16,8.12
2022-09-30,22.75,$5.28,4.31
2022-06-30,26.07,$4.62,5.64
2022-03-31,34.26,$3.44,9.95
2021-12-31,31.69,$2.83,11.21
2021-09-30,26.72,$0.42,63.09
2021-06-30,23.78,$0.03,880.88
2021-03-31,25.67,$0.50,51.06
2020-12-31,22.26,$0.41,54.29
2020-09-30,19.54,$0.24,80.19
2020-06-30,15.7,$1.75,9.0
2020-03-31,12.5,$2.70,4.63
2019-12-31,20.69,$2.92,7.09
2019-09-30,19.78,$3.00,6.6
2019-06-30,17.26,$2.44,7.08
2019-03-31,18.84,$3.13,6.02
2018-12-31,16.05,$3.96,4.05
2018-09-30,22.46,$4.91,4.57
2018-06-30,23.94,$5.02,4.77
2018-03-31,23.87,$4.30,5.54
2017-12-31,27.02,$4.04,6.69
2017-09-30,22.17,$2.97,7.47
2017-06-30,20.8,$3.36,6.2
2017-03-31,19.65,$3.43,5.72
2016-12-31,15.19,$3.21,4.73
2016-09-30,12.87,$3.38,3.81
2016-06-30,10.55,$1.99,5.3
2016-03-31,10.35,$0.88,11.71
2015-12-31,8.76,$0.46,18.85
2015-09-30,7.37,$0.41,18.12
2015-06-30,16.66,$1.12,14.85
2015-03-31,16.64,$0.89,18.64
2014-12-31,17.0,$0.65,26.31
2014-09-30,19.29,$0.56,34.34
2014-06-30,20.77,$0.79,26.18
2014-03-31,17.97,$0.95,18.95
2013-12-31,18.0,$0.98,18.41
2013-09-30,15.0,$0.61,24.64
2013-06-30,11.98,$-0.02,0.0
2013-03-31,13.36,$0.37,36.23
2012-12-31,11.35,$1.50,7.54
2012-09-30,10.59,$2.23,4.75
2012-06-30,9.12,$1.42,6.43
2012-03-31,9.79,$1.36,7.22
2011-12-31,6.94,$0.14,47.93
2011-09-30,6.64,$-0.05,0.0
2011-06-30,12.84,$0.41,31.4
2011-03-31,11.77,$-0.11,0.0
2010-12-31,10.51,$-1.25,0.0
2010-09-30,7.74,$-1.44,0.0
2010-06-30,5.74,$-1.67,0.0
2010-03-31,7.9,$2.37,3.34
2009-12-31,7.35,$3.84,1.91
