Cadence Bank Price to Free Cash Flow Ratio Historical Data,Cadence Bank Price to Free Cash Flow Ratio Historical Data,Cadence Bank Price to Free Cash Flow Ratio Historical Data,Cadence Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.5,,9.78
2024-06-30,28.06,$3.43,8.19
2024-03-31,28.51,$3.42,8.34
2023-12-31,28.82,$2.64,10.9
2023-09-30,20.51,$4.25,4.82
2023-06-30,18.78,$4.31,4.35
2023-03-31,19.63,$4.51,4.36
2022-12-31,23.06,$4.67,4.94
2022-09-30,23.55,$3.72,6.34
2022-06-30,21.58,$3.27,6.61
2022-03-31,26.64,$10.42,2.56
2021-12-31,26.93,$9.21,2.92
2021-09-30,26.74,$9.18,2.91
2021-06-30,25.26,$9.90,2.55
2021-03-31,28.77,$0.50,57.42
2020-12-31,24.18,$1.65,14.67
2020-09-30,16.96,$2.00,8.48
2020-06-30,19.72,$0.95,20.85
2020-03-31,16.27,$2.07,7.85
2019-12-31,26.75,$1.84,14.52
2019-09-30,25.08,$1.35,18.62
2019-06-30,24.44,$1.76,13.93
2019-03-31,23.61,$2.08,11.36
2018-12-31,21.74,$2.00,10.89
2018-09-30,27.04,$1.84,14.71
2018-06-30,27.11,$2.08,13.03
2018-03-31,26.05,$1.68,15.51
2017-12-31,25.66,$1.59,16.18
2017-09-30,26.03,$2.07,12.59
2017-06-30,24.77,$1.63,15.18
2017-03-31,24.57,$1.62,15.13
2016-12-31,25.22,$1.28,19.78
2016-09-30,18.85,$1.01,18.7
2016-06-30,18.43,$1.18,15.6
2016-03-31,17.31,$1.59,10.92
2015-12-31,19.49,$1.08,18.11
2015-09-30,19.31,$1.19,16.2
2015-06-30,20.92,$0.63,33.22
2015-03-31,18.86,$0.65,29.01
2014-12-31,18.28,$1.30,14.04
2014-09-30,16.36,$1.40,11.7
2014-06-30,19.96,$2.14,9.33
2014-03-31,20.27,$2.00,10.14
2013-12-31,20.65,$1.90,10.85
2013-09-30,16.16,$2.01,8.06
2013-06-30,14.31,$1.47,9.74
2013-03-31,13.17,$1.75,7.52
2012-12-31,11.74,$1.46,8.04
2012-09-30,11.89,$2.01,5.91
2012-06-30,11.71,$2.10,5.57
2012-03-31,10.85,$2.30,4.72
2011-12-31,8.87,$3.09,2.87
2011-09-30,7.06,$2.83,2.5
2011-06-30,9.97,$3.28,3.04
2011-03-31,12.41,$2.74,4.52
2010-12-31,12.72,$2.45,5.18
2010-09-30,11.14,$1.50,7.41
2010-06-30,13.83,$1.93,7.15
2010-03-31,16.03,$2.81,5.7
2009-12-31,17.74,$3.09,5.73
