Surgery Partners Price to Free Cash Flow Ratio Historical Data,Surgery Partners Price to Free Cash Flow Ratio Historical Data,Surgery Partners Price to Free Cash Flow Ratio Historical Data,Surgery Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.03,,20.1
2024-06-30,23.79,$1.64,14.48
2024-03-31,29.83,$1.54,19.36
2023-12-31,31.99,$1.84,17.41
2023-09-30,29.25,$1.43,20.43
2023-06-30,44.99,$0.88,51.03
2023-03-31,34.47,$0.77,44.59
2022-12-31,27.86,$0.99,28.12
2022-09-30,23.4,$1.22,19.23
2022-06-30,28.92,$1.01,28.5
2022-03-31,55.05,$0.48,115.0
2021-12-31,53.41,$0.49,108.98
2021-09-30,42.34,$0.42,100.67
2021-06-30,66.62,$1.66,40.03
2021-03-31,44.26,$5.52,8.01
2020-12-31,29.01,$5.38,5.39
2020-09-30,21.9,$5.33,4.11
2020-06-30,11.57,$4.95,2.34
2020-03-31,6.53,$1.87,3.49
2019-12-31,15.66,$1.52,10.28
2019-09-30,7.39,$2.18,3.39
2019-06-30,8.14,$1.93,4.21
2019-03-31,11.28,$2.37,4.76
2018-12-31,9.79,$2.58,3.79
2018-09-30,16.5,$2.82,5.84
2018-06-30,14.9,$2.36,6.31
2018-03-31,17.15,$1.71,10.02
2017-12-31,12.1,$1.89,6.4
2017-09-30,10.35,$1.39,7.42
2017-06-30,22.75,$1.53,14.86
2017-03-31,19.5,$2.10,9.28
2016-12-31,15.85,$1.79,8.87
2016-09-30,20.24,$2.71,7.48
