Icahn Enterprises Price to Free Cash Flow Ratio Historical Data,Icahn Enterprises Price to Free Cash Flow Ratio Historical Data,Icahn Enterprises Price to Free Cash Flow Ratio Historical Data,Icahn Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.81,,3.0
2024-06-30,15.52,$4.93,3.15
2024-03-31,15.12,$7.51,2.01
2023-12-31,14.48,$8.84,1.64
2023-09-30,15.75,$1.26,12.54
2023-06-30,22.12,$-0.93,0.0
2023-03-31,37.09,$-3.62,0.0
2022-12-31,34.95,$2.01,17.42
2022-09-30,33.01,$10.00,3.3
2022-06-30,30.79,$9.87,3.12
2022-03-31,31.99,$8.67,3.69
2021-12-31,29.43,$0.04,695.66
2021-09-30,28.59,$-6.01,0.0
2021-06-30,30.37,$1.02,29.77
2021-03-31,28.65,$0.72,39.99
2020-12-31,26.07,$-3.50,0.0
2020-09-30,24.41,$5.96,4.1
2020-06-30,23.12,$-2.65,0.0
2020-03-31,22.2,$-11.03,0.0
2019-12-31,26.98,$-6.22,0.0
2019-09-30,27.32,$11.21,2.44
2019-06-30,29.97,$15.64,1.92
2019-03-31,29.21,$24.20,1.21
2018-12-31,22.36,$22.29,1.0
2018-09-30,27.02,$1.68,16.1
2018-06-30,26.54,$-1.87,0.0
2018-03-31,20.78,$2.07,10.05
2017-12-31,18.76,$1.88,10.0
2017-09-30,18.91,$2.56,7.39
2017-06-30,17.33,$2.88,6.01
2017-03-31,16.68,$-0.18,0.0
2016-12-31,18.98,$6.84,2.78
2016-09-30,15.53,$5.58,2.79
2016-06-30,16.16,$4.92,3.29
2016-03-31,18.37,$2.82,6.52
2015-12-31,17.45,$-4.04,0.0
2015-09-30,18.7,$-6.15,0.0
2015-06-30,23.71,$-7.70,0.0
2015-03-31,24.12,$-9.65,0.0
2014-12-31,24.48,$-15.13,0.0
2014-09-30,28.02,$-13.98,0.0
2014-06-30,26.02,$-15.94,0.0
2014-03-31,26.42,$-11.36,0.0
2013-12-31,27.77,$-4.00,0.0
2013-09-30,20.9,$-4.11,0.0
2013-06-30,17.97,$-2.70,0.0
2013-03-31,13.3,$5.80,2.29
2012-12-31,10.76,$6.58,1.64
2012-09-30,9.76,$7.22,1.35
2012-06-30,9.51,$13.74,0.69
2012-03-31,10.2,$22.01,0.46
2011-12-31,8.41,$17.08,0.49
2011-09-30,8.49,$17.86,0.48
2011-06-30,10.05,$15.75,0.64
2011-03-31,9.22,$-3.73,0.0
2010-12-31,8.09,$-4.38,0.0
2010-09-30,8.36,$-4.89,0.0
2010-06-30,8.36,$-1.79,0.0
2010-03-31,10.67,$-0.03,0.0
2009-12-31,8.92,$1.65,5.42
