Argenex SE Price to Free Cash Flow Ratio Historical Data,Argenex SE Price to Free Cash Flow Ratio Historical Data,Argenex SE Price to Free Cash Flow Ratio Historical Data,Argenex SE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,543.84,,0.0
2024-06-30,430.04,$-2.11,0.0
2023-12-31,380.43,$-7.37,0.0
2023-09-30,491.63,$-15.88,0.0
2023-06-30,389.73,$-11.98,0.0
2023-03-31,372.58,$-15.88,0.0
2022-12-31,378.83,$-15.88,0.0
2022-09-30,353.05,0,0.0
2022-06-30,378.88,$-9.03,0.0
2019-06-30,141.58,0,0.0
2018-12-31,96.07,0,0.0
2018-06-30,82.86,0,0.0
2017-12-31,63.14,$-11.95,0.0
2017-06-30,21.21,$-11.95,0.0
2022-03-31,315.31,$-11.95,0.0
2021-12-31,350.19,$-11.95,0.0
2021-09-30,302.0,0,0.0
