Kinross Gold Price to Free Cash Flow Ratio Historical Data,Kinross Gold Price to Free Cash Flow Ratio Historical Data,Kinross Gold Price to Free Cash Flow Ratio Historical Data,Kinross Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.15,,18.17
2024-06-30,8.29,$0.56,14.85
2024-03-31,6.11,$0.49,12.44
2023-12-31,6.0,$0.41,14.48
2023-09-30,4.5,$0.46,9.88
2023-06-30,4.67,$0.38,12.44
2023-03-31,4.59,$0.26,17.98
2022-12-31,3.95,$0.22,17.79
2022-09-30,3.6,$0.02,218.41
2022-06-30,3.4,$-0.26,0.0
2022-03-31,5.55,$-0.06,0.0
2021-12-31,5.45,$-0.10,0.0
2021-09-30,5.01,$0.29,17.18
2021-06-30,5.9,$0.81,7.29
2021-03-31,6.17,$0.70,8.77
2020-12-31,6.76,$0.83,8.17
2020-09-30,8.06,$0.63,12.75
2020-06-30,6.6,$0.36,18.24
2020-03-31,3.64,$0.24,15.44
2019-12-31,4.33,$0.16,27.83
2019-09-30,4.21,$-0.03,0.0
2019-06-30,3.55,$-0.14,0.0
2019-03-31,3.14,$-0.23,0.0
2018-12-31,2.96,$-0.20,0.0
2018-09-30,2.47,$-0.08,0.0
2018-06-30,3.44,$0.03,114.2
2018-03-31,3.61,$0.07,55.38
2017-12-31,3.95,$0.05,79.46
2017-09-30,3.88,$0.08,51.41
2017-06-30,3.72,$0.17,22.06
2017-03-31,3.21,$0.34,9.34
2016-12-31,2.84,$0.39,7.35
2016-09-30,3.85,$0.33,11.55
2016-06-30,4.47,$0.30,15.0
2016-03-31,3.11,$0.17,18.05
2015-12-31,1.66,$0.19,8.57
2015-09-30,1.57,$0.16,9.56
2015-06-30,2.12,$0.24,8.73
2015-03-31,2.05,$0.24,8.38
2014-12-31,2.58,$0.19,13.54
2014-09-30,3.02,$0.09,31.89
2014-06-30,3.78,$-0.19,0.0
2014-03-31,3.78,$-0.40,0.0
2013-12-31,4.0,$-0.40,0.0
2013-09-30,4.62,$-0.28,0.0
2013-06-30,4.66,$-0.25,0.0
2013-03-31,7.25,$-0.37,0.0
2012-12-31,8.8,$-0.54,0.0
2012-09-30,9.24,$-0.70,0.0
2012-06-30,7.32,$-0.66,0.0
2012-03-31,8.79,$-0.41,0.0
2011-12-31,10.16,$-0.20,0.0
2011-09-30,13.17,$-0.82,0.0
2011-06-30,14.03,$0.04,322.53
2011-03-31,13.99,$0.24,57.51
2010-12-31,16.78,$0.36,46.59
2010-09-30,16.63,$1.37,12.18
2010-06-30,15.08,$0.59,25.74
2010-03-31,15.08,$0.50,30.13
2009-12-31,16.19,$0.38,42.57
