Box Price to Free Cash Flow Ratio Historical Data,Box Price to Free Cash Flow Ratio Historical Data,Box Price to Free Cash Flow Ratio Historical Data,Box Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.84,,15.46
2024-07-31,28.12,$2.12,13.24
2024-04-30,26.02,$2.09,12.47
2024-01-31,25.98,$2.02,12.85
2023-10-31,24.86,$2.00,12.43
2023-07-31,31.25,$1.95,15.99
2023-04-30,26.46,$1.94,13.63
2023-01-31,31.99,$1.87,17.07
2022-10-31,29.05,$1.59,18.31
2022-07-31,28.44,$1.51,18.78
2022-04-30,30.62,$1.59,19.22
2022-01-31,26.13,$1.44,18.12
2021-10-31,25.83,$1.54,16.77
2021-07-31,23.92,$1.45,16.54
2021-04-30,21.3,$1.35,15.75
2021-01-31,17.34,$1.16,14.98
2020-10-31,15.5,$0.88,17.59
2020-07-31,17.95,$0.67,26.91
2020-04-30,16.14,$0.43,37.27
2020-01-31,15.03,$0.21,70.93
2019-10-31,16.92,$0.32,52.14
2019-07-31,16.54,$0.29,57.01
2019-04-30,20.62,$0.32,64.72
2019-01-31,20.92,$0.27,78.32
2018-10-31,18.0,$0.19,96.21
2018-07-31,23.96,$0.27,89.07
2018-04-30,22.86,$0.22,103.16
2018-01-31,22.24,$0.18,125.79
2017-10-31,21.95,$0.15,141.89
2017-07-31,18.85,$0.01,0.0
2017-04-30,17.24,$0.05,378.9
2017-01-31,17.07,$-0.14,0.0
2016-10-31,14.42,$-0.40,0.0
2016-07-31,11.65,$-0.63,0.0
2016-04-30,12.93,$-0.92,0.0
2016-01-31,10.76,$-1.15,0.0
2015-10-31,12.48,$-7.14,0.0
