Biohaven Price to Free Cash Flow Ratio Historical Data,Biohaven Price to Free Cash Flow Ratio Historical Data,Biohaven Price to Free Cash Flow Ratio Historical Data,Biohaven Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.64,,0.0
2024-06-30,34.71,$-6.01,0.0
2024-03-31,54.69,$-4.82,0.0
2023-12-31,42.8,$-4.70,0.0
2023-09-30,26.01,$-4.21,0.0
2023-06-30,23.92,$-5.35,0.0
2023-03-31,13.66,$-6.44,0.0
2022-12-31,13.88,$-6.79,0.0
2022-09-30,151.17,$-6.64,0.0
2022-06-30,145.71,$-0.31,0.0
2022-03-31,118.57,$-1.89,0.0
2021-12-31,137.81,$-3.73,0.0
2021-09-30,138.91,$3.39,40.95
2021-06-30,97.08,$-3.06,0.0
2021-03-31,68.35,$-2.61,0.0
2020-12-31,85.71,$-2.00,0.0
2020-09-30,65.01,$-10.78,0.0
2020-06-30,73.11,$-8.33,0.0
2020-03-31,34.03,$-6.43,0.0
2019-12-31,54.44,$-4.87,0.0
2019-09-30,41.72,$-3.12,0.0
2018-12-31,36.98,$-5.14,0.0
2018-09-30,37.55,$-6.06,0.0
2018-06-30,39.52,$-5.16,0.0
2018-03-31,25.76,$-1.05,0.0
2017-12-31,26.98,$-2.34,0.0
2017-09-30,37.38,$-1.51,0.0
