H World Group Price to Free Cash Flow Ratio Historical Data,H World Group Price to Free Cash Flow Ratio Historical Data,H World Group Price to Free Cash Flow Ratio Historical Data,H World Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.83,,14.08
2024-06-30,32.59,$2.62,12.46
2024-03-31,37.85,$2.17,17.46
2023-06-30,36.9,$2.00,18.49
2023-03-31,46.61,$1.62,28.77
2022-12-31,40.37,$0.24,167.44
2022-09-30,31.92,$-0.30,0.0
2022-06-30,36.26,$-0.12,0.0
2022-03-31,31.39,$-0.09,0.0
2021-12-31,35.31,$-0.16,0.0
2021-09-30,43.37,$-0.94,0.0
2021-06-30,49.94,$-0.87,0.0
2021-03-31,51.91,$-0.44,0.0
2020-12-31,42.58,$-0.59,0.0
2020-09-30,40.89,$1.18,34.62
2020-06-30,33.14,$0.83,39.71
2020-03-31,27.17,$-0.07,0.0
2019-12-31,37.57,$0.83,45.01
2019-09-30,30.96,$0.93,33.33
2019-06-30,33.99,$0.93,36.59
2019-03-31,39.51,$0.90,43.8
2018-12-31,26.84,$0.93,28.9
2018-09-30,29.95,$0.86,34.97
2018-06-30,38.93,$0.86,45.46
2018-03-31,30.53,$0.89,34.44
2017-12-31,33.48,$0.86,39.09
2017-09-30,27.38,$0.79,34.82
2017-06-30,18.59,$0.79,23.64
2017-03-31,14.3,$0.70,20.39
2016-12-31,11.95,$0.79,15.19
2016-09-30,10.39,$0.43,24.0
2016-06-30,8.39,$0.52,16.12
2016-03-31,8.81,$0.82,10.76
2015-12-31,7.2,$0.67,10.77
2015-09-30,5.49,$0.57,9.67
2015-06-30,5.51,$0.31,18.07
2015-03-31,4.45,$0.40,11.24
2014-12-31,5.93,$0.33,17.87
2014-09-30,5.82,$-0.00,0.0
2014-06-30,5.67,$0.17,32.67
2014-03-31,5.55,$0.05,122.97
2013-12-31,6.88,$-0.00,0.0
2013-09-30,4.29,$-0.18,0.0
2013-06-30,3.61,$-0.18,0.0
2013-03-31,3.72,$-0.26,0.0
2012-12-31,3.85,$-0.18,0.0
2012-09-30,3.77,$-0.20,0.0
2012-06-30,2.65,$-0.20,0.0
2012-03-31,2.64,$-0.30,0.0
2011-12-31,3.21,$-0.20,0.0
2011-09-30,3.09,$0.04,69.91
2011-06-30,4.02,$0.04,90.9
2011-03-31,3.94,$0.04,89.06
2010-12-31,4.92,$0.04,111.23
