Whirlpool Price to Free Cash Flow Ratio Historical Data,Whirlpool Price to Free Cash Flow Ratio Historical Data,Whirlpool Price to Free Cash Flow Ratio Historical Data,Whirlpool Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,104.72,,20.6
2024-06-30,100.45,$5.08,19.76
2024-03-31,115.38,$-0.73,0.0
2023-12-31,115.56,$6.81,16.97
2023-09-30,124.94,$3.33,37.53
2023-06-30,137.24,$11.33,12.12
2023-03-31,120.2,$11.38,10.56
2022-12-31,127.17,$16.05,7.93
2022-09-30,119.78,$11.47,10.44
2022-06-30,136.19,$13.33,10.22
2022-03-31,150.4,$23.34,6.44
2021-12-31,202.48,$31.05,6.52
2021-09-30,174.84,$37.48,4.67
2021-06-30,185.81,$45.73,4.06
2021-03-31,186.69,$35.50,5.26
2020-12-31,151.91,$19.84,7.66
2020-09-30,153.77,$29.53,5.21
2020-06-30,107.59,$30.99,3.47
2020-03-31,70.48,$30.58,2.31
2019-12-31,120.1,$29.16,4.12
2019-09-30,127.89,$28.47,4.49
2019-06-30,113.97,$7.00,16.27
2019-03-31,105.42,$7.45,14.15
2018-12-31,84.09,$11.89,7.07
2018-09-30,92.5,$-0.05,0.0
2018-06-30,112.88,$3.03,37.21
2018-03-31,117.36,$4.74,24.78
2017-12-31,128.38,$8.62,14.9
2017-09-30,139.47,$8.70,16.03
2017-06-30,143.96,$9.79,14.71
2017-03-31,127.94,$10.48,12.2
2016-12-31,134.98,$7.85,17.2
2016-09-30,119.68,$7.38,16.21
2016-06-30,122.31,$7.85,15.57
2016-03-31,131.58,$5.99,21.97
2015-12-31,106.53,$7.19,14.82
2015-09-30,106.21,$10.05,10.57
2015-06-30,124.14,$9.73,12.76
2015-03-31,144.26,$7.27,19.85
2014-12-31,137.84,$9.80,14.07
2014-09-30,103.19,$2.75,37.59
2014-06-30,98.15,$5.32,18.43
2014-03-31,104.83,$7.46,14.06
2013-12-31,109.54,$8.54,12.83
2013-09-30,101.82,$7.50,13.58
2013-06-30,79.13,$5.15,15.35
2013-03-31,81.58,$4.80,16.99
2012-12-31,69.75,$2.90,24.05
2012-09-30,56.54,$3.27,17.28
2012-06-30,41.43,$-1.40,0.0
2012-03-31,51.65,$-2.95,0.0
2011-12-31,31.68,$-0.70,0.0
2011-09-30,33.0,$-2.98,0.0
2011-06-30,53.31,$1.44,36.95
2011-03-31,55.63,$3.12,17.83
2010-12-31,57.58,$6.47,8.9
2010-09-30,52.18,$9.42,5.54
2010-06-30,56.28,$15.86,3.55
2010-03-31,55.68,$18.37,3.03
2009-12-31,51.21,$14.37,3.56
