TKOs Price to Free Cash Flow Ratio Historical Data,TKOs Price to Free Cash Flow Ratio Historical Data,TKOs Price to Free Cash Flow Ratio Historical Data,TKOs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,128.03,,15.84
2024-06-30,107.99,$8.08,13.36
2024-03-31,86.41,$5.41,15.98
2023-12-31,81.58,$5.07,16.09
2023-09-30,84.06,$2.83,29.74
2023-06-30,108.34,$-0.90,0.0
2023-03-31,91.04,$-0.80,0.0
2022-12-31,68.26,$0.00,0.0
2022-09-30,69.79,$-1.33,0.0
2022-06-30,62.04,$0.12,539.02
2022-03-31,61.88,$0.17,368.53
2021-12-31,48.79,0,0.0
2021-09-30,55.49,$1.99,27.86
2021-06-30,56.97,$2.76,20.64
2021-03-31,53.3,$3.42,15.58
2020-12-31,47.1,$3.47,13.58
2020-09-30,39.56,$3.99,9.91
2020-06-30,42.35,$2.49,17.01
2020-03-31,32.99,$-0.48,0.0
2019-12-31,62.83,$-0.52,0.0
2019-09-30,68.78,$-1.34,0.0
2019-06-30,69.69,$-0.39,0.0
2018-12-31,71.9,$1.74,41.26
2018-09-30,92.93,$2.15,43.28
2018-06-30,69.86,$1.66,42.17
2018-03-31,34.48,$1.17,29.38
2017-12-31,29.19,$1.23,23.74
2019-03-31,83.62,$0.17,498.62
2017-09-30,22.39,$0.70,32.16
2017-06-30,19.27,$0.60,32.23
2017-03-31,20.9,$0.47,44.83
2016-12-31,17.2,$0.42,41.34
2016-09-30,19.79,$0.23,85.62
2016-06-30,17.0,$0.04,481.52
2016-03-31,16.19,$0.24,66.23
2015-12-31,16.25,$0.42,38.29
2015-09-30,15.28,$0.97,15.76
2015-06-30,14.83,$0.94,15.8
2015-03-31,12.49,$0.86,14.48
2014-12-31,10.92,$0.57,19.22
2014-09-30,12.19,$-0.13,0.0
2014-06-30,10.56,$-0.07,0.0
2014-03-31,25.56,$-0.05,0.0
2013-12-31,14.67,$-0.02,0.0
2013-09-30,8.93,$0.12,76.22
2013-06-30,8.94,$-0.07,0.0
2013-03-31,7.56,$-0.23,0.0
2012-12-31,6.67,$-0.11,0.0
2012-09-30,6.7,$-0.24,0.0
2012-06-30,6.42,$0.04,176.91
2011-12-31,7.44,$0.47,15.8
2011-09-30,7.02,$0.61,11.54
2011-06-30,7.41,$0.80,9.27
2011-03-31,9.65,$0.70,13.82
2010-12-31,10.63,$0.15,72.87
2012-03-31,7.17,$0.51,14.2
2010-09-30,10.13,$0.55,18.59
2010-06-30,11.05,$0.76,14.45
2010-03-31,12.02,$1.34,8.97
2009-12-31,10.44,$1.49,7.0
