Moelis Price to Free Cash Flow Ratio Historical Data,Moelis Price to Free Cash Flow Ratio Historical Data,Moelis Price to Free Cash Flow Ratio Historical Data,Moelis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,71.9,,24.64
2024-06-30,56.29,$2.92,19.3
2024-03-31,55.56,$1.95,28.55
2023-12-31,54.35,$2.07,26.26
2023-09-30,43.08,$2.42,17.83
2023-06-30,42.74,$2.22,19.22
2023-03-31,35.63,$2.17,16.44
2022-12-31,35.1,$0.38,91.28
2022-09-30,30.52,$4.28,7.14
2022-06-30,35.05,$7.05,4.97
2022-03-31,41.24,$9.92,4.16
2021-12-31,54.24,$13.45,4.03
2021-09-30,51.54,$13.05,3.95
2021-06-30,46.92,$10.02,4.68
2021-03-31,43.21,$7.51,5.75
2020-12-31,36.45,$6.40,5.7
2020-09-30,25.92,$4.79,5.41
2020-06-30,22.8,$4.33,5.27
2020-03-31,20.38,$4.40,4.63
2019-12-31,22.37,$3.65,6.12
2019-09-30,22.7,$3.35,6.78
2019-06-30,23.81,$5.21,4.57
2019-03-31,27.95,$5.17,5.4
2018-12-31,22.24,$7.57,2.94
2018-09-30,35.03,$7.04,4.98
2018-06-30,36.34,$5.37,6.77
2018-03-31,31.23,$7.00,4.46
2017-12-31,28.71,$6.04,4.75
2017-09-30,25.26,$8.97,2.82
2017-06-30,22.59,$10.94,2.07
2017-03-31,21.61,$10.92,1.98
2016-12-31,18.84,$9.43,2.0
2016-09-30,14.26,$8.66,1.65
2016-06-30,11.79,$8.46,1.39
2016-03-31,14.63,$8.45,1.73
2015-12-31,14.47,$6.50,2.23
2015-09-30,12.88,$7.35,1.75
2015-06-30,13.94,$8.69,1.61
2015-03-31,14.53,$8.63,1.68
