Telefonica Brasil S.A Price to Free Cash Flow Ratio Historical Data,Telefonica Brasil S.A Price to Free Cash Flow Ratio Historical Data,Telefonica Brasil S.A Price to Free Cash Flow Ratio Historical Data,Telefonica Brasil S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.64,,12.73
2024-06-30,8.21,$0.76,10.84
2024-03-31,10.07,$0.60,16.88
2023-09-30,8.55,$0.45,18.84
2023-06-30,9.13,$0.48,18.89
2022-12-31,7.15,$1.14,6.28
2022-09-30,7.52,$0.42,17.74
2022-06-30,8.98,$0.56,16.09
2022-03-31,10.86,$0.54,19.94
2021-09-30,7.36,$0.49,15.03
2020-12-31,8.33,$1.38,6.04
2020-09-30,7.18,$1.46,4.92
2020-06-30,8.3,$1.55,5.35
2020-03-31,8.7,$1.63,5.34
2019-12-31,12.99,$1.44,9.03
2019-09-30,11.94,$1.34,8.93
2019-06-30,11.71,$0.93,12.59
2019-03-31,10.47,$0.62,16.79
2018-12-31,10.28,$0.56,18.48
2018-09-30,8.25,$1.02,8.12
2018-06-30,9.58,$0.69,13.95
2018-03-31,12.4,$0.97,12.77
2017-12-31,11.97,$0.80,15.03
2017-09-30,12.56,$0.19,65.8
2017-06-30,10.68,$0.75,14.3
2017-03-31,11.44,$0.76,15.09
2016-12-31,10.21,$0.81,12.66
2016-09-30,10.94,$1.12,9.73
2016-06-30,10.26,$0.99,10.35
2016-03-31,9.17,$0.90,10.23
2015-12-31,6.56,$0.64,10.26
2015-09-30,6.57,$-0.02,0.0
2015-06-30,9.95,$-0.79,0.0
2015-03-31,10.79,$0.54,20.02
2014-12-31,12.2,$0.71,17.16
2014-09-30,13.37,$1.59,8.42
2014-06-30,13.79,$2.73,5.06
2014-03-31,14.25,$1.04,13.69
2013-12-31,12.42,$1.73,7.18
2013-09-30,14.32,$2.26,6.33
2013-06-30,14.51,$3.40,4.27
2013-03-31,16.59,$3.24,5.12
2012-12-31,14.51,$2.89,5.02
2012-09-30,12.83,$1.79,7.15
2012-06-30,14.6,$0.66,21.97
2012-03-31,17.85,$1.72,10.38
2011-12-31,15.93,$1.58,10.06
2011-09-30,14.97,$1.77,8.43
2011-06-30,16.8,$1.91,8.81
2011-03-31,13.94,$1.89,7.36
2010-12-31,12.74,$2.26,5.64
2010-09-30,12.36,$0.64,19.31
2010-06-30,10.3,$0.68,15.25
2010-03-31,10.53,$0.33,31.68
2009-12-31,11.99,0,0.0
