SPS Commerce Price to Free Cash Flow Ratio Historical Data,SPS Commerce Price to Free Cash Flow Ratio Historical Data,SPS Commerce Price to Free Cash Flow Ratio Historical Data,SPS Commerce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,194.33,,60.09
2024-06-30,188.16,$3.23,58.18
2024-03-31,184.9,$3.37,54.83
2023-12-31,193.84,$3.00,64.55
2023-09-30,170.61,$2.71,62.95
2023-06-30,192.06,$2.62,73.3
2023-03-31,152.3,$2.61,58.34
2022-12-31,128.43,$2.17,59.2
2022-09-30,124.23,$2.44,50.98
2022-06-30,113.05,$2.05,55.13
2022-03-31,131.2,$2.02,64.8
2021-12-31,142.35,$2.52,56.39
2021-09-30,161.31,$2.29,70.5
2021-06-30,99.85,$2.45,40.79
2021-03-31,99.31,$2.19,45.38
2020-12-31,108.59,$1.99,54.65
2020-09-30,77.87,$1.91,40.69
2020-06-30,75.12,$1.73,43.41
2020-03-31,46.51,$1.71,27.17
2019-12-31,55.42,$1.62,34.28
2019-09-30,47.07,$1.58,29.85
2019-06-30,51.11,$1.40,36.57
2019-03-31,53.03,$1.22,43.58
2018-12-31,41.19,$1.17,35.15
2018-09-30,49.62,$0.98,50.41
2018-06-30,36.74,$0.71,51.39
2018-03-31,32.04,$0.58,55.11
2017-12-31,24.3,$0.69,35.47
2017-09-30,28.36,$0.67,42.56
2017-06-30,31.88,$0.56,56.5
2017-03-31,29.25,$0.43,67.57
2016-12-31,34.95,$0.31,112.0
2016-09-30,36.71,$0.28,130.25
2016-06-30,30.3,$0.41,73.4
2016-03-31,21.47,$0.29,75.31
2015-12-31,35.11,$0.17,210.84
2015-09-30,33.95,$0.07,487.72
2015-06-30,32.9,$0.09,372.17
2015-03-31,33.55,$0.22,155.4
2014-12-31,28.32,$0.27,103.41
2014-09-30,26.58,$0.26,101.32
2014-06-30,31.6,$0.28,112.28
2014-03-31,30.73,$0.30,103.0
2013-12-31,32.65,$0.39,82.95
2013-09-30,33.46,$0.18,184.05
2013-06-30,27.5,$0.15,188.49
2013-03-31,21.34,$0.17,126.32
2012-12-31,18.64,$0.03,612.99
2012-09-30,19.24,$0.20,97.2
2012-06-30,15.19,$0.17,88.42
2012-03-31,13.44,$0.11,123.64
2011-12-31,12.98,$0.07,173.93
2011-09-30,8.15,$0.09,87.58
2011-06-30,8.9,$0.08,113.17
2011-03-31,7.76,$0.14,55.99
