Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data,Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data,Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data,Victory Capital Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.55,,12.18
2024-06-30,47.35,$4.97,9.52
2024-03-31,41.78,$4.89,8.55
2023-12-31,33.63,$4.77,7.06
2023-09-30,32.24,$4.28,7.54
2023-06-30,30.21,$4.37,6.91
2023-03-31,27.76,$4.48,6.2
2022-12-31,25.19,$4.57,5.52
2022-09-30,21.69,$5.12,4.24
2022-06-30,22.23,$4.99,4.45
2022-03-31,26.38,$4.83,5.46
2021-12-31,33.11,$4.90,6.75
2021-09-30,31.57,$4.35,7.26
2021-06-30,28.99,$3.85,7.53
2021-03-31,22.86,$3.67,6.23
2020-12-31,22.11,$3.29,6.72
2020-09-30,15.01,$3.18,4.72
2020-06-30,15.22,$3.95,3.86
2020-03-31,14.45,$3.47,4.16
2019-12-31,18.46,$3.02,6.1
2019-09-30,13.51,$2.74,4.93
2019-06-30,15.04,$1.72,8.75
2019-03-31,13.15,$1.73,7.6
2018-12-31,8.95,$1.87,4.79
