Carpenter Technology Price to Free Cash Flow Ratio Historical Data,Carpenter Technology Price to Free Cash Flow Ratio Historical Data,Carpenter Technology Price to Free Cash Flow Ratio Historical Data,Carpenter Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,159.57,,44.84
2024-06-30,109.43,$3.56,30.75
2024-03-31,71.14,$3.66,19.46
2023-12-31,70.31,$2.11,33.32
2023-09-30,66.52,$0.21,313.34
2023-06-30,55.36,$-1.37,0.0
2023-03-31,43.98,$-2.77,0.0
2022-12-31,36.15,$-2.25,0.0
2022-09-30,30.3,$-2.33,0.0
2022-06-30,27.01,$-1.71,0.0
2022-03-31,40.41,$-2.16,0.0
2021-12-31,27.91,$-2.67,0.0
2021-09-30,31.1,$0.73,42.61
2021-06-30,37.98,$3.13,12.14
2021-03-31,38.66,$4.31,8.98
2020-12-31,27.19,$5.08,5.35
2020-09-30,16.77,$3.36,4.99
2020-06-30,22.21,$1.26,17.66
2020-03-31,17.67,$1.60,11.02
2019-12-31,44.88,$0.33,135.24
2019-09-30,46.4,$0.79,58.68
2019-06-30,43.09,$1.09,39.48
2019-03-31,41.02,$-0.17,0.0
2018-12-31,31.72,$1.69,18.78
2018-09-30,52.31,$1.70,30.77
2018-06-30,46.49,$1.60,29.08
2018-03-31,38.89,$1.54,25.18
2017-12-31,44.77,$1.42,31.56
2017-09-30,42.02,$-3.43,0.0
2017-06-30,32.59,$-0.79,0.0
2017-03-31,32.33,$-1.03,0.0
2016-12-31,31.22,$-1.73,0.0
2016-06-30,28.16,$3.39,8.3
2016-03-31,29.12,$4.13,7.06
2015-12-31,25.59,$2.59,9.88
2015-09-30,25.03,$4.16,6.02
2015-06-30,32.36,$2.88,11.24
2016-09-30,35.45,$-0.55,0.0
2015-03-31,32.39,$0.76,42.83
2014-12-31,40.85,$-1.64,0.0
2014-09-30,37.31,$0.74,50.35
2014-06-30,52.1,$0.49,107.17
2014-03-31,54.24,$-1.12,0.0
2013-06-30,36.68,$-2.27,0.0
2013-03-31,39.96,$-2.59,0.0
2012-12-31,41.71,$-0.80,0.0
2012-09-30,42.13,$0.28,150.77
2012-06-30,38.38,$-0.22,0.0
2012-03-31,41.77,$0.41,101.32
2011-12-31,41.03,$0.36,112.85
2011-09-30,35.65,$-0.73,0.0
2011-06-30,45.63,$0.55,83.69
2011-03-31,33.67,$-1.96,0.0
2013-12-31,50.93,$-1.93,0.0
2010-12-31,31.59,$-1.13,0.0
2010-09-30,26.33,$1.71,15.4
2010-06-30,25.5,$1.62,15.72
2010-03-31,28.3,$1.51,18.75
2009-12-31,20.7,$3.31,6.25
2013-09-30,47.44,$0.30,159.52
