Genpact Price to Free Cash Flow Ratio Historical Data,Genpact Price to Free Cash Flow Ratio Historical Data,Genpact Price to Free Cash Flow Ratio Historical Data,Genpact Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.48,,15.28
2024-06-30,32.06,$2.52,12.73
2024-03-31,32.67,$2.33,14.03
2023-12-31,34.26,$2.35,14.57
2023-09-30,35.59,$2.56,13.91
2023-06-30,36.8,$2.91,12.66
2023-03-31,45.11,$2.53,17.81
2022-12-31,45.07,$2.09,21.56
2022-09-30,42.47,$2.13,19.93
2022-06-30,40.99,$2.01,20.41
2022-03-31,41.99,$2.32,18.07
2021-12-31,51.07,$3.35,15.22
2021-09-30,45.61,$2.89,15.8
2021-06-30,43.52,$3.05,14.27
2021-03-31,40.92,$3.17,12.91
2020-12-31,39.43,$2.63,15.0
2020-09-30,37.04,$2.27,16.33
2020-06-30,34.64,$2.06,16.79
2020-03-31,27.63,$1.71,16.15
2019-12-31,39.79,$1.82,21.9
2019-09-30,36.49,$2.08,17.5
2019-06-30,35.87,$1.73,20.77
2019-03-31,33.05,$1.46,22.7
2018-12-31,25.29,$1.32,19.23
2018-09-30,28.61,$1.12,25.46
2018-06-30,26.97,$1.16,23.32
2018-03-31,29.75,$1.24,24.07
2017-12-31,29.45,$1.54,19.12
2017-09-30,26.63,$1.55,17.13
2017-06-30,25.72,$1.52,16.92
2017-03-31,22.83,$0.11,204.23
2016-12-31,22.39,$0.29,76.42
2016-09-30,22.03,$0.44,50.6
2016-06-30,24.69,$0.14,181.54
2015-12-31,22.98,$1.22,18.88
2015-09-30,21.72,$2.06,10.54
2015-06-30,19.62,$1.32,14.89
2015-03-31,21.39,$1.29,16.6
2014-12-31,17.41,$1.53,11.4
2016-03-31,25.01,$0.43,58.02
2014-09-30,15.01,$0.88,17.04
2014-06-30,16.13,$1.07,15.13
2014-03-31,16.02,$1.06,15.19
2013-12-31,16.9,$1.13,14.97
2013-09-30,17.37,$1.19,14.66
2013-06-30,17.7,$0.94,18.74
2013-03-31,16.73,$1.14,14.68
2012-12-31,14.26,$0.99,14.36
2012-09-30,15.34,$0.99,15.52
2012-06-30,13.48,$1.11,12.14
2012-03-31,13.21,$0.88,14.97
2011-12-31,12.12,$1.02,11.84
2011-09-30,11.67,$1.03,11.3
2011-06-30,13.98,$0.91,15.29
2011-03-31,11.74,$0.75,15.58
2010-12-31,12.32,$0.49,25.38
2010-09-30,14.37,$0.24,59.25
2010-06-30,12.59,$0.18,70.54
2010-03-31,13.6,$0.24,55.81
2009-12-31,12.08,$0.47,25.61
