Hancock Whitney Price to Free Cash Flow Ratio Historical Data,Hancock Whitney Price to Free Cash Flow Ratio Historical Data,Hancock Whitney Price to Free Cash Flow Ratio Historical Data,Hancock Whitney Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.47,,8.05
2024-06-30,47.46,$6.64,7.15
2024-03-31,45.28,$6.79,6.67
2023-12-31,47.46,$5.82,8.15
2023-09-30,35.88,$6.08,5.9
2023-06-30,36.97,$6.26,5.91
2023-03-31,34.8,$7.25,4.8
2022-12-31,45.99,$9.41,4.89
2022-09-30,43.32,$8.24,5.26
2022-06-30,41.68,$7.77,5.36
2022-03-31,48.77,$6.69,7.29
2021-12-31,46.55,$6.48,7.18
2021-09-30,43.61,$7.35,5.93
2021-06-30,40.88,$7.26,5.63
2021-03-31,38.44,$6.53,5.88
2020-12-31,30.92,$3.67,8.43
2020-09-30,16.94,$4.31,3.93
2020-06-30,18.85,$2.88,6.54
2020-03-31,17.17,$3.58,4.79
2019-12-31,38.29,$3.57,10.72
2019-09-30,33.2,$2.71,12.23
2019-06-30,34.46,$3.53,9.75
2019-03-31,34.51,$0.07,480.03
2018-12-31,29.42,$-1.10,0.0
2018-09-30,40.09,$1.47,27.2
2018-06-30,39.13,$1.31,29.82
2017-12-31,41.14,$4.60,8.94
2017-09-30,40.08,$8.89,4.51
2017-06-30,40.31,$6.26,6.43
2017-03-31,37.28,$6.39,5.83
2016-12-31,35.1,$6.42,5.47
2018-03-31,43.16,$4.46,9.67
2016-09-30,26.26,$3.44,7.63
2016-06-30,20.98,$3.49,6.02
2016-03-31,18.29,$3.35,5.46
2015-12-31,19.86,$2.89,6.87
2015-09-30,21.16,$3.52,6.0
2015-06-30,24.74,$3.66,6.77
2015-03-31,22.97,$3.65,6.29
2014-12-31,23.42,$4.20,5.58
2014-09-30,24.27,$4.09,5.93
2014-06-30,26.56,$4.47,5.95
2014-03-31,27.36,$5.16,5.3
2013-12-31,27.2,$5.33,5.1
2013-09-30,23.1,$6.11,3.78
2013-06-30,21.97,$5.72,3.84
2013-03-31,22.4,$5.27,4.25
2012-12-31,22.81,$4.75,4.8
2012-09-30,22.1,$3.86,5.72
2012-06-30,21.54,$0.68,31.59
2012-03-31,24.92,$4.80,5.19
2011-12-31,22.28,$3.17,7.03
2011-09-30,18.53,$4.51,4.11
2011-06-30,21.24,$6.59,3.23
2011-03-31,22.35,$1.79,12.51
2010-12-31,23.55,$4.73,4.98
2010-09-30,20.17,$1.94,10.41
2010-06-30,22.19,$2.58,8.62
2010-03-31,27.63,$2.52,10.96
2009-12-31,28.78,$0.26,111.04
