Okta Price to Free Cash Flow Ratio Historical Data,Okta Price to Free Cash Flow Ratio Historical Data,Okta Price to Free Cash Flow Ratio Historical Data,Okta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.45,,0.0
2024-07-31,93.94,$-6.84,0.0
2024-04-30,92.98,$-6.95,0.0
2024-01-31,82.65,$-7.46,0.0
2023-10-31,67.41,$-6.51,0.0
2023-07-31,76.86,$-7.37,0.0
2023-04-30,68.53,$-7.82,0.0
2023-01-31,73.61,$-8.52,0.0
2022-10-31,56.12,$-12.47,0.0
2022-07-31,98.45,$-12.30,0.0
2022-04-30,119.31,$-12.22,0.0
2022-01-31,197.89,$-11.89,0.0
2021-10-31,247.18,$-15.15,0.0
2021-07-31,247.79,$-15.04,0.0
2021-04-30,269.7,$-14.92,0.0
2021-01-31,259.01,$-15.08,0.0
2020-10-31,209.83,$0.76,274.54
2020-07-31,220.98,$0.52,423.17
2020-04-30,151.3,$0.43,349.1
2020-01-31,128.05,$0.31,413.87
2019-10-31,109.07,$0.20,557.9
2019-07-31,130.83,$0.14,967.68
2019-04-30,104.03,$0.07,1505.5
2019-01-31,82.43,$-0.06,0.0
2018-10-31,58.36,$-0.19,0.0
2018-07-31,49.65,$-0.31,0.0
2018-04-30,42.81,$-0.13,0.0
2018-01-31,29.45,$-0.45,0.0
