JD Price to Free Cash Flow Ratio Historical Data,JD Price to Free Cash Flow Ratio Historical Data,JD Price to Free Cash Flow Ratio Historical Data,JD Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.85,,7.31
2024-06-30,25.84,$5.32,4.86
2024-03-31,26.62,$4.67,5.69
2023-12-31,28.07,$3.96,7.08
2023-09-30,28.31,$3.96,7.14
2023-06-30,33.17,$3.12,10.63
2023-03-31,42.01,$2.16,19.42
2022-12-31,53.72,$3.79,14.18
2022-09-30,48.14,$2.64,18.26
2022-06-30,61.46,$3.59,17.11
2022-03-31,54.09,$3.18,16.99
2021-12-31,65.5,$2.83,23.14
2021-09-30,67.53,$4.42,15.29
2021-06-30,74.6,$4.15,17.96
2021-03-31,78.83,$3.77,20.9
2020-12-31,82.17,$4.33,18.96
2020-09-30,72.55,$3.20,22.7
2020-06-30,56.25,$2.80,20.09
2020-03-31,37.86,$1.96,19.28
2019-12-31,32.93,$2.44,13.48
2019-09-30,26.37,$1.55,17.01
2019-06-30,28.31,$0.58,49.18
2019-03-31,28.18,$1.13,25.0
2018-12-31,19.56,$0.38,51.22
2018-09-30,24.39,$3.81,6.4
2018-06-30,36.41,$4.03,9.03
2018-03-31,37.85,$1.48,25.66
2017-12-31,38.72,$2.33,16.64
2017-09-30,35.71,$0.37,95.4
2017-06-30,36.66,$0.66,55.82
2017-03-31,29.08,$1.05,27.7
2016-12-31,23.78,$0.61,39.09
2015-03-31,27.46,$0.23,117.31
2014-12-31,21.63,$-0.31,0.0
2014-09-30,24.14,0,0.0
2014-06-30,26.65,0,0.0
2016-06-30,19.84,0,0.0
2016-03-31,24.77,$0.26,94.04
2016-09-30,24.39,0,0.0
