Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data,Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data,Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data,Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.92,,0.0
2024-06-30,62.53,$-12.56,0.0
2024-03-31,63.53,$-10.10,0.0
2023-12-31,64.73,$-4.08,0.0
2023-09-30,44.88,$-0.08,0.0
2023-06-30,35.36,$9.60,3.68
2023-03-31,34.0,$48.96,0.69
2022-12-31,56.71,$51.33,1.1
2022-09-30,62.27,$23.66,2.63
2022-06-30,66.59,$7.59,8.77
2021-12-31,100.68,$-26.36,0.0
2021-09-30,101.47,$-30.96,0.0
2021-06-30,86.28,$-4.60,0.0
2021-03-31,87.54,$8.82,9.92
2020-12-31,55.4,$9.53,5.81
2022-03-31,77.75,$9.83,7.91
2020-09-30,29.08,$5.80,5.02
2020-06-30,34.6,$6.23,5.55
2020-03-31,27.73,$6.32,4.39
2019-12-31,51.41,$6.63,7.75
2019-09-30,41.36,$6.51,6.35
2019-06-30,39.9,$5.89,6.78
2019-03-31,36.62,$5.70,6.42
2018-12-31,35.24,$5.11,6.89
2018-09-30,50.76,$4.94,10.27
2018-06-30,50.51,$4.48,11.28
2018-03-31,51.85,$3.79,13.68
2017-12-31,50.52,$3.77,13.39
2017-09-30,47.36,$3.15,15.04
2017-06-30,43.9,$3.17,13.83
2017-03-31,43.8,$2.75,15.93
2016-12-31,43.47,$2.60,16.71
2016-09-30,33.5,$2.86,11.73
2016-06-30,29.13,$2.29,12.73
2016-03-31,29.79,$1.11,26.78
2015-12-31,32.0,$1.10,29.16
2015-09-30,27.4,$0.68,40.46
2015-06-30,30.12,$0.51,58.57
2014-12-31,24.81,$1.75,14.14
2014-09-30,21.33,$1.39,15.3
2014-06-30,21.24,$1.33,15.94
2014-03-31,21.95,$1.61,13.65
2013-12-31,21.29,$1.69,12.6
2013-09-30,16.89,$2.28,7.41
2013-06-30,14.13,$2.35,6.02
2013-03-31,12.35,$2.43,5.07
2012-12-31,9.4,$2.33,4.04
2012-09-30,9.1,$1.84,4.93
2012-06-30,8.35,$1.71,4.88
2012-03-31,7.56,$1.39,5.43
2011-12-31,5.56,$1.77,3.14
2011-09-30,4.89,$1.86,2.63
2011-06-30,6.34,$2.60,2.44
2015-03-31,26.45,$2.12,12.47
2011-03-31,7.33,$1.43,5.12
2010-12-31,6.57,$0.02,286.79
2010-09-30,5.98,$-1.01,0.0
2010-06-30,6.4,$-0.72,0.0
2010-03-31,5.08,$-0.13,0.0
2009-12-31,3.37,$1.35,2.49
