MACOM Technology Solutions Holdings Price to Free Cash Flow Ratio Historical Data,MACOM Technology Solutions Holdings Price to Free Cash Flow Ratio Historical Data,MACOM Technology Solutions Holdings Price to Free Cash Flow Ratio Historical Data,MACOM Technology Solutions Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,112.67,,479.65
2024-06-30,111.47,$0.23,474.54
2024-03-31,95.64,$0.17,578.93
2023-09-30,81.58,$2.10,38.83
2023-06-30,65.53,$3.20,20.47
2023-03-31,70.84,$3.00,23.62
2022-12-31,62.98,$2.99,21.05
2022-09-30,51.79,$3.09,16.77
2023-12-31,92.95,$1.78,52.36
2022-06-30,46.1,$1.90,24.3
2022-03-31,59.87,$1.98,30.31
2021-12-31,78.3,$1.79,43.69
2021-09-30,64.87,$1.86,34.97
2021-06-30,64.08,$2.39,26.84
2021-03-31,58.02,$2.29,25.3
2020-12-31,55.04,$2.28,24.12
2020-09-30,34.01,$2.32,14.69
2020-06-30,34.35,$1.14,30.01
2020-03-31,18.93,$0.57,33.46
2019-12-31,26.6,$0.46,58.14
2019-09-30,21.5,$-0.18,0.0
2019-06-30,15.13,$0.14,105.95
2019-03-31,16.71,$0.06,259.07
2018-12-31,14.51,$-0.16,0.0
2018-09-30,20.6,$-0.24,0.0
2018-06-30,23.04,$-0.34,0.0
2018-03-31,16.6,$0.15,108.0
2017-12-31,32.54,$-0.03,0.0
2017-09-30,44.61,$0.47,95.16
2017-06-30,55.77,$0.73,76.55
2017-03-31,48.3,$0.64,76.03
2016-12-31,46.28,$1.01,45.72
2016-09-30,42.34,$0.90,47.16
2016-06-30,32.98,$0.56,58.39
2016-03-31,43.79,$0.53,82.67
2015-12-31,40.89,$0.44,92.91
2015-09-30,28.99,$-0.06,0.0
2015-06-30,38.25,$-0.14,0.0
2015-03-31,37.26,$0.14,258.03
2014-12-31,31.28,$-0.15,0.0
2014-09-30,21.84,$0.17,125.59
2014-06-30,22.48,$0.11,201.98
2014-03-31,20.55,$-0.16,0.0
2013-12-31,16.99,$0.19,88.17
2013-09-30,17.02,$0.35,48.88
2013-06-30,14.6,$0.80,18.36
2013-03-31,16.07,$-0.36,0.0
2012-12-31,14.97,$0.75,19.88
