Cousins Properties Price to Free Cash Flow Ratio Historical Data,Cousins Properties Price to Free Cash Flow Ratio Historical Data,Cousins Properties Price to Free Cash Flow Ratio Historical Data,Cousins Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.5,,57.04
2024-06-30,22.58,$0.55,40.89
2024-03-31,23.12,$0.61,37.97
2023-12-31,23.11,$0.61,37.74
2023-09-30,19.01,$0.64,29.86
2023-06-30,20.98,$0.43,49.28
2023-03-31,19.38,$-1.19,0.0
2022-12-31,22.63,$-1.19,0.0
2022-09-30,20.62,$-1.14,0.0
2022-06-30,25.54,$0.07,341.4
2021-12-31,34.65,$1.05,32.86
2021-09-30,31.82,$-2.20,0.0
2021-06-30,31.12,$0.09,330.76
2021-03-31,29.65,$-1.60,0.0
2020-12-31,28.1,$1.13,24.96
2020-09-30,23.53,$3.74,6.29
2020-06-30,24.31,$1.62,14.98
2020-03-31,23.6,$1.84,12.8
2019-12-31,32.98,$-0.90,0.0
2019-09-30,29.86,$-0.34,0.0
2019-06-30,28.5,$-0.28,0.0
2019-03-31,30.22,$0.23,132.27
2018-12-31,24.51,$0.05,453.91
2018-09-30,27.38,$1.95,14.07
2018-06-30,29.64,$1.51,19.62
2018-03-31,26.35,$2.56,10.31
2017-12-31,28.08,$2.48,11.31
2017-09-30,28.17,$6.21,4.54
2017-06-30,26.34,$6.50,4.05
2017-03-31,24.62,$5.14,4.79
2016-12-31,24.96,$5.59,4.47
2016-09-30,21.96,$2.35,9.34
2016-06-30,21.71,$4.10,5.3
2016-03-31,21.51,$4.28,5.03
2015-12-31,19.36,$3.64,5.32
2015-09-30,18.76,$-0.48,0.0
2015-06-30,20.96,$-6.50,0.0
2015-03-31,21.23,$-6.40,0.0
2014-12-31,22.71,$-5.98,0.0
2014-09-30,23.6,$-7.27,0.0
2014-06-30,24.44,$-24.12,0.0
2014-03-31,22.37,$-26.76,0.0
2013-12-31,19.95,$-33.51,0.0
2013-09-30,19.85,$-21.19,0.0
2013-06-30,19.4,$-2.16,0.0
2013-03-31,20.44,$3.09,6.63
2012-12-31,15.89,$10.13,1.57
2012-09-30,15.03,$-0.96,0.0
2012-06-30,14.58,$2.43,5.99
2012-03-31,14.18,$-0.14,0.0
2011-12-31,11.92,$0.67,17.87
2011-09-30,10.79,$3.33,3.24
2011-06-30,15.65,$5.00,3.13
2011-03-31,15.23,$5.13,2.97
2010-12-31,15.13,$5.75,2.63
2010-09-30,12.8,$5.70,2.25
2010-06-30,11.93,$2.96,4.03
2010-03-31,14.54,$2.37,6.13
2009-12-31,13.2,$0.06,212.58
2009-09-30,14.16,$-0.75,0.0
