Archrock Price to Free Cash Flow Ratio Historical Data,Archrock Price to Free Cash Flow Ratio Historical Data,Archrock Price to Free Cash Flow Ratio Historical Data,Archrock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.11,,21.79
2024-06-30,20.04,$0.97,20.69
2024-03-31,19.34,$0.67,28.89
2023-12-31,14.98,$0.54,27.61
2023-09-30,12.13,$0.04,283.97
2023-06-30,9.75,$-0.26,0.0
2023-03-31,9.15,$-0.14,0.0
2022-12-31,8.28,$-0.10,0.0
2022-09-30,5.82,$0.10,56.66
2022-06-30,7.35,$0.37,19.75
2022-03-31,8.07,$0.86,9.37
2021-12-31,6.42,$1.11,5.77
2021-09-30,6.97,$1.49,4.68
2021-06-30,7.39,$1.72,4.29
2021-03-31,7.76,$1.72,4.52
2020-12-31,6.97,$1.42,4.92
2020-09-30,4.25,$1.06,4.0
2020-06-30,5.03,$0.79,6.37
2020-03-31,2.83,$0.41,6.93
2019-12-31,7.42,$-0.10,0.0
2019-09-30,7.26,$-0.35,0.0
2019-06-30,7.6,$-0.97,0.0
2019-03-31,6.91,$-0.96,0.0
2018-12-31,5.22,$-0.54,0.0
2018-09-30,8.4,$-0.28,0.0
2018-06-30,8.18,$0.16,50.52
2018-03-31,5.9,$0.06,91.74
2017-12-31,6.99,$0.39,18.08
2017-09-30,8.26,$1.01,8.15
2017-06-30,7.42,$1.85,4.01
2017-03-31,7.98,$2.94,2.71
2016-12-31,8.43,$2.88,2.93
2016-09-30,8.26,$4.97,1.66
