Texas Roadhouse Price to Free Cash Flow Ratio Historical Data,Texas Roadhouse Price to Free Cash Flow Ratio Historical Data,Texas Roadhouse Price to Free Cash Flow Ratio Historical Data,Texas Roadhouse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,182.3,,37.4
2024-06-30,171.09,$4.87,35.1
2024-03-31,153.37,$4.19,36.63
2023-12-31,120.87,$3.52,34.34
2023-09-30,94.57,$3.00,31.52
2023-06-30,109.9,$3.39,32.38
2023-03-31,105.25,$3.95,26.65
2022-12-31,88.12,$4.13,21.32
2022-09-30,84.14,$4.29,19.6
2022-06-30,70.21,$3.67,19.12
2022-03-31,79.86,$4.79,16.66
2021-12-31,84.63,$3.47,24.42
2021-09-30,86.17,$3.33,25.91
2021-06-30,90.38,$3.39,26.65
2020-12-31,73.14,$1.14,63.96
2020-09-30,56.88,$0.69,82.21
2020-06-30,49.19,$2.01,24.43
2020-03-31,38.65,$1.95,19.78
2019-12-31,52.32,$2.70,19.36
2021-03-31,89.77,$3.41,26.32
2019-09-30,48.53,$2.54,19.13
2019-06-30,49.32,$2.75,17.93
2019-03-31,56.84,$2.70,21.04
2018-12-31,54.56,$2.74,19.94
2018-09-30,63.07,$2.34,26.91
2018-06-30,59.43,$2.35,25.32
2018-03-31,52.21,$1.92,27.15
2017-12-31,47.4,$1.74,27.18
2017-09-30,44.04,$1.64,26.91
2017-06-30,45.46,$1.43,31.77
2017-03-31,39.57,$1.68,23.52
2016-12-31,42.64,$1.30,32.82
2016-09-30,34.37,$1.34,25.74
2016-06-30,39.98,$1.07,37.4
2016-03-31,38.05,$0.86,44.06
2015-12-31,31.09,$0.77,40.19
2015-09-30,32.18,$0.64,50.27
2015-06-30,32.23,$0.88,36.48
2015-03-31,31.23,$0.98,31.86
2014-12-31,28.8,$0.96,30.14
2014-09-30,23.65,$0.90,26.37
2014-06-30,21.96,$0.82,26.94
2014-03-31,21.9,$0.85,25.64
2013-12-31,23.21,$0.87,26.55
2013-09-30,21.86,$0.87,25.23
2013-06-30,20.7,$1.10,18.81
2013-03-31,16.62,$1.00,16.7
2012-12-31,13.75,$0.87,15.8
2012-09-30,13.83,$0.77,17.92
2012-06-30,14.8,$0.25,58.63
2012-03-31,13.32,$0.73,18.15
2011-12-31,11.87,$0.79,15.06
2011-09-30,10.47,$0.85,12.31
2011-06-30,13.81,$1.39,9.94
2011-03-31,13.31,$1.09,12.18
2010-12-31,13.39,$1.03,12.98
2010-09-30,10.95,$1.10,9.99
2010-06-30,9.84,$1.09,9.04
2010-03-31,10.83,$1.12,9.68
2009-12-31,8.76,$1.01,8.67
