ADMA Biologics Inc Price to Free Cash Flow Ratio Historical Data,ADMA Biologics Inc Price to Free Cash Flow Ratio Historical Data,ADMA Biologics Inc Price to Free Cash Flow Ratio Historical Data,ADMA Biologics Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.12,,56.54
2024-06-30,11.18,$0.29,39.21
2024-03-31,6.6,$0.07,89.43
2023-12-31,4.52,$0.02,251.11
2023-09-30,3.58,$-0.11,0.0
2023-06-30,3.69,$-0.24,0.0
2023-03-31,3.31,$-0.30,0.0
2022-12-31,3.88,$-0.37,0.0
2022-09-30,2.43,$-0.56,0.0
2022-06-30,1.98,$-0.57,0.0
2022-03-31,1.83,$-0.74,0.0
2021-12-31,1.41,$-0.90,0.0
2021-09-30,1.13,$-1.10,0.0
2021-06-30,1.6,$-1.30,0.0
2021-03-31,1.76,$-1.28,0.0
2020-12-31,1.95,$-1.33,0.0
2020-09-30,2.39,$-1.38,0.0
2020-06-30,2.93,$-1.44,0.0
2020-03-31,2.88,$-1.52,0.0
2019-12-31,4.0,$-1.47,0.0
2019-09-30,4.45,$-1.45,0.0
2019-06-30,3.87,$-1.31,0.0
2019-03-31,3.79,$-1.37,0.0
2018-12-31,2.39,$-1.43,0.0
2018-09-30,6.21,$-1.77,0.0
2018-06-30,4.51,$-1.63,0.0
2018-03-31,4.6,$-1.70,0.0
2017-12-31,3.21,$-1.74,0.0
2017-09-30,3.08,$-1.32,0.0
2017-06-30,3.7,$-1.55,0.0
2017-03-31,4.88,$-1.44,0.0
2016-12-31,5.12,$-1.51,0.0
2016-09-30,7.24,$-1.56,0.0
2016-06-30,5.95,$-1.50,0.0
2016-03-31,8.09,$-1.54,0.0
2015-12-31,8.07,$-1.48,0.0
2015-09-30,8.36,$-1.43,0.0
2015-06-30,9.26,$-1.60,0.0
2015-03-31,9.8,$-0.57,0.0
2014-12-31,11.17,$-1.28,0.0
2014-09-30,10.3,$-1.46,0.0
