NIO Price to Free Cash Flow Ratio Historical Data,NIO Price to Free Cash Flow Ratio Historical Data,NIO Price to Free Cash Flow Ratio Historical Data,NIO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.15,,58.06
2024-06-30,4.16,$0.09,46.9
2024-03-31,4.5,$-1.30,0.0
2023-12-31,9.07,$-1.30,0.0
2023-09-30,9.04,$-0.96,0.0
2023-06-30,9.69,$-2.34,0.0
2023-03-31,10.51,$-0.96,0.0
2022-12-31,9.75,$-0.96,0.0
2022-09-30,15.77,$-0.01,0.0
2022-06-30,21.72,$-0.21,0.0
2022-03-31,21.05,$-0.21,0.0
2021-12-31,31.68,$-0.21,0.0
2021-09-30,35.63,$0.04,807.94
2021-06-30,53.2,$0.13,416.28
2021-03-31,38.98,$0.13,305.01
2020-12-31,48.74,$0.13,381.38
2020-09-30,21.22,$-1.57,0.0
2020-06-30,7.72,$-1.45,0.0
2020-03-31,2.78,$-1.45,0.0
2019-12-31,4.02,$-1.45,0.0
2019-09-30,1.56,$-4.56,0.0
