Block Price to Free Cash Flow Ratio Historical Data,Block Price to Free Cash Flow Ratio Historical Data,Block Price to Free Cash Flow Ratio Historical Data,Block Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,73.68,,89.01
2024-06-30,64.49,$0.83,77.91
2024-03-31,84.58,$0.22,392.48
2023-12-31,77.35,$-0.08,0.0
2023-09-30,44.26,$1.30,34.0
2023-06-30,66.57,$0.53,125.96
2023-03-31,68.65,$0.08,842.33
2022-12-31,62.84,$0.01,0.0
2022-09-30,54.99,$0.34,164.1
2022-06-30,61.46,$1.13,54.44
2022-03-31,135.6,$1.90,71.52
2021-12-31,161.51,$1.42,113.58
2021-09-30,239.84,$0.82,293.85
2021-06-30,243.8,$0.89,274.24
2021-03-31,227.05,$-0.27,0.0
2020-12-31,217.64,$0.07,3022.78
2020-09-30,162.55,$0.82,198.14
2020-06-30,104.94,$0.44,239.32
2020-03-31,52.38,$1.42,36.96
2019-12-31,62.56,$1.23,50.76
2019-09-30,61.95,$1.17,52.75
2019-06-30,72.53,$0.78,93.2
2019-03-31,74.92,$0.50,150.02
2018-12-31,56.09,$0.58,97.31
2018-09-30,99.01,$0.15,654.83
2018-06-30,61.64,$0.18,337.2
2018-03-31,49.2,$0.28,177.81
2017-12-31,34.67,$0.27,129.41
2017-09-30,28.81,$0.27,105.92
2017-06-30,23.46,$0.34,68.5
2017-03-31,17.28,$0.16,107.66
2016-12-31,13.63,$-0.01,0.0
2016-09-30,11.66,$-0.03,0.0
