Murphy Oil Price to Free Cash Flow Ratio Historical Data,Murphy Oil Price to Free Cash Flow Ratio Historical Data,Murphy Oil Price to Free Cash Flow Ratio Historical Data,Murphy Oil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.14,,4.93
2024-06-30,40.92,$6.72,6.09
2024-03-31,45.03,$6.18,7.29
2023-12-31,41.71,$4.79,8.71
2023-09-30,44.06,$4.48,9.84
2023-06-30,36.98,$4.86,7.61
2023-03-31,35.41,$5.78,6.13
2022-12-31,40.93,$6.80,6.02
2022-09-30,33.29,$6.28,5.3
2022-06-30,28.38,$5.61,5.06
2022-03-31,37.77,$5.51,6.86
2021-12-31,24.31,$6.51,3.73
2021-09-30,23.15,$5.58,4.15
2021-06-30,21.46,$4.26,5.04
2021-03-31,15.03,$1.13,13.27
2020-12-31,10.99,$-0.37,0.0
2020-09-30,7.99,$-0.78,0.0
2020-06-30,12.25,$-0.70,0.0
2020-03-31,5.38,$-5.94,0.0
2019-12-31,23.28,$-6.35,0.0
2019-09-30,19.01,$-11.46,0.0
2019-06-30,20.91,$-11.80,0.0
2019-03-31,24.63,$-5.58,0.0
2018-12-31,19.49,$-6.06,0.0
2018-09-30,27.56,$-3.49,0.0
2018-06-30,27.7,$-3.95,0.0
2018-03-31,21.02,$-3.01,0.0
2017-12-31,25.02,$-1.32,0.0
2017-09-30,21.22,$2.07,10.24
2017-06-30,20.28,$2.28,8.89
2017-03-31,22.41,$6.70,3.35
2016-12-31,24.19,$4.81,5.02
2016-09-30,23.41,$1.03,22.76
2016-06-30,24.24,$0.12,204.4
2016-03-31,19.01,$-7.09,0.0
2015-12-31,16.58,$-5.41,0.0
2015-09-30,17.66,$4.63,3.82
2015-06-30,30.01,$5.07,5.91
2015-03-31,33.39,$6.84,4.88
2014-12-31,35.95,$4.64,7.74
2014-09-30,40.23,$-4.54,0.0
2014-06-30,46.72,$-3.15,0.0
2014-03-31,43.95,$-3.25,0.0
2013-12-31,45.11,$-2.00,0.0
2013-09-30,41.73,$-2.99,0.0
2013-06-30,36.32,$-4.34,0.0
2013-03-31,37.83,$-5.68,0.0
2012-12-31,35.17,$-3.24,0.0
2012-09-30,30.16,$-1.99,0.0
2012-06-30,28.09,$0.21,133.01
2012-03-31,31.25,$0.77,40.76
2011-12-31,30.81,$-1.36,0.0
2011-09-30,24.29,$1.69,14.41
2011-06-30,35.93,$1.21,29.74
2011-03-31,40.01,$3.08,12.99
2010-12-31,40.47,$4.56,8.87
2010-09-30,33.47,$4.98,6.72
2010-06-30,26.65,$4.43,6.02
2010-03-31,30.09,$2.17,13.84
2009-12-31,28.88,$-0.10,0.0
