Stellantis Price to Free Cash Flow Ratio Historical Data,Stellantis Price to Free Cash Flow Ratio Historical Data,Stellantis Price to Free Cash Flow Ratio Historical Data,Stellantis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.0,,8.31
2020-12-31,12.66,$1.56,8.1
2020-09-30,8.55,$-1.22,0.0
2020-03-31,5.03,$-1.61,0.0
2019-12-31,10.28,$1.52,6.77
2019-09-30,9.06,$2.29,3.96
2019-06-30,9.67,$1.84,5.26
2019-03-31,9.38,$2.20,4.26
2018-12-31,9.13,$3.47,2.63
2018-09-30,11.06,$2.84,3.89
2018-06-30,11.93,$3.16,3.77
2018-03-31,12.96,$2.52,5.14
2017-12-31,11.26,$1.29,8.71
2017-09-30,11.31,$8.41,1.35
2017-06-30,6.71,$1.64,4.09
2017-03-31,6.9,$0.30,22.84
2016-12-31,5.76,$2.07,2.78
2020-06-30,7.17,$-7.02,0.0
2016-09-30,4.04,$1.18,3.44
2016-06-30,3.86,$1.26,3.07
2016-03-31,5.09,$0.67,7.62
2015-12-31,8.83,$0.71,12.51
2015-09-30,8.34,$-0.73,0.0
2015-06-30,9.17,$0.01,722.39
2015-03-31,10.3,$0.49,21.23
2014-06-30,6.26,$-0.05,0.0
2014-03-31,7.36,0,0.0
