First Industrial Realty Trust Price to Free Cash Flow Ratio Historical Data,First Industrial Realty Trust Price to Free Cash Flow Ratio Historical Data,First Industrial Realty Trust Price to Free Cash Flow Ratio Historical Data,First Industrial Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.69,,60.42
2024-06-30,47.2,$0.91,52.15
2024-03-31,51.79,$0.03,1843.12
2023-12-31,51.55,$-0.51,0.0
2023-09-30,46.3,$-0.97,0.0
2023-06-30,50.87,$-1.19,0.0
2023-03-31,51.1,$-1.00,0.0
2022-12-31,46.07,$-1.83,0.0
2022-09-30,42.52,$-1.83,0.0
2022-06-30,44.76,$-2.12,0.0
2022-03-31,58.0,$-2.49,0.0
2021-12-31,61.73,$-1.27,0.0
2021-09-30,48.37,$-0.38,0.0
2021-06-30,48.26,$0.64,74.84
2021-03-31,42.09,$1.40,30.07
2020-12-31,38.5,$0.20,192.52
2020-09-30,36.16,$0.35,103.4
2020-06-30,34.71,$-0.18,0.0
2020-03-31,29.81,$-0.73,0.0
2019-12-31,36.96,$0.36,102.18
2019-09-30,35.03,$-0.06,0.0
2019-06-30,32.34,$-0.03,0.0
2018-12-31,25.08,$0.10,239.1
2018-09-30,27.08,$0.97,27.87
2018-06-30,28.55,$0.68,42.03
2018-03-31,24.87,$0.52,47.93
2017-12-31,26.58,$0.57,46.35
2019-03-31,30.93,$-0.26,0.0
2017-09-30,25.25,$-0.16,0.0
2017-06-30,23.85,$-0.00,0.0
2017-03-31,22.03,$0.89,24.81
2016-12-31,23.02,$0.43,53.27
2016-09-30,23.0,$0.44,52.64
2016-06-30,22.52,$-0.04,0.0
2016-03-31,18.28,$-0.64,0.0
2015-12-31,17.64,$-0.02,0.0
2015-09-30,16.61,$-0.03,0.0
2015-06-30,14.76,$0.68,21.61
2015-03-31,16.77,$0.48,35.11
2014-12-31,16.0,$0.15,106.49
2014-09-30,13.09,$0.56,23.32
2014-06-30,14.5,$0.40,35.99
2014-03-31,14.79,$0.57,25.88
2013-12-31,13.29,$0.59,22.37
2013-09-30,12.33,$0.45,27.19
2013-06-30,11.43,$0.96,11.93
2013-03-31,12.84,$0.58,22.18
2012-12-31,10.5,$0.88,11.98
2012-09-30,9.8,$0.65,15.1
2012-06-30,9.41,$0.43,21.76
2012-03-31,9.21,$1.00,9.2
2011-12-31,7.63,$0.91,8.43
2011-09-30,5.97,$1.05,5.69
2011-06-30,8.54,$0.76,11.2
2011-03-31,8.87,$0.56,15.92
2010-12-31,6.53,$0.98,6.69
2010-09-30,3.78,$2.37,1.59
2010-06-30,3.59,$2.92,1.23
2010-03-31,5.79,$3.29,1.76
2009-12-31,3.9,$2.90,1.34
