Tradeweb Markets Price to Free Cash Flow Ratio Historical Data,Tradeweb Markets Price to Free Cash Flow Ratio Historical Data,Tradeweb Markets Price to Free Cash Flow Ratio Historical Data,Tradeweb Markets Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,132.75,,39.25
2024-06-30,106.0,$3.38,31.34
2024-03-31,104.17,$3.06,34.08
2023-12-31,90.88,$3.22,28.24
2023-09-30,80.2,$3.04,26.35
2023-06-30,68.48,$3.01,22.72
2023-03-31,79.02,$2.87,27.49
2022-12-31,64.93,$2.75,23.63
2022-09-30,56.42,$2.68,21.07
2022-06-30,68.17,$2.60,26.23
2022-03-31,87.67,$2.46,35.6
2021-12-31,99.81,$2.54,39.28
2021-09-30,80.45,$2.41,33.42
2021-06-30,84.14,$2.21,38.15
2021-03-31,73.56,$2.51,29.3
2020-12-31,62.01,$2.13,29.13
2020-09-30,57.51,$2.05,28.09
2020-06-30,57.57,$2.09,27.5
2020-03-31,41.58,$1.53,27.17
