Bruker Price to Free Cash Flow Ratio Historical Data,Bruker Price to Free Cash Flow Ratio Historical Data,Bruker Price to Free Cash Flow Ratio Historical Data,Bruker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.49,,52.46
2024-06-30,63.76,$1.15,55.3
2024-03-31,93.8,$1.24,75.77
2023-12-31,73.33,$1.73,42.44
2023-09-30,62.12,$1.46,42.55
2023-06-30,73.65,$1.42,51.85
2023-03-31,78.5,$1.09,72.12
2022-12-31,68.0,$1.06,63.86
2022-09-30,52.75,$0.88,60.29
2022-06-30,62.34,$0.86,72.86
2022-03-31,63.82,$1.26,50.52
2021-12-31,83.22,$1.28,65.16
2021-09-30,77.42,$1.68,46.15
2021-06-30,75.29,$2.04,36.96
2021-03-31,63.66,$1.98,32.17
2020-12-31,53.57,$1.52,35.21
2020-09-30,39.31,$1.08,36.31
2020-06-30,40.19,$0.96,41.7
2020-03-31,35.39,$0.97,36.38
2019-12-31,50.26,$0.97,51.99
2019-09-30,43.29,$0.99,43.55
2019-06-30,49.17,$0.79,61.92
2019-03-31,37.81,$0.47,80.59
2018-12-31,29.25,$1.05,27.89
2018-09-30,32.82,$0.49,66.73
2018-06-30,28.46,$0.23,126.23
2017-12-31,33.55,$0.77,43.68
2017-09-30,29.05,$0.53,55.29
2017-06-30,28.12,$0.59,47.5
2017-03-31,22.72,$0.92,24.57
2016-12-31,20.59,$0.81,25.51
2018-03-31,29.29,$0.32,92.36
2016-09-30,21.98,$0.91,24.15
2016-06-30,22.03,$1.01,21.85
2016-03-31,27.08,$0.90,30.0
2015-12-31,23.44,$1.16,20.23
2015-09-30,15.87,$0.71,22.38
2015-06-30,19.71,$0.48,41.46
2015-03-31,17.84,$0.56,31.84
2014-12-31,18.95,$0.49,38.42
2014-09-30,17.88,$0.85,20.92
2014-06-30,23.44,$0.99,23.62
2014-03-31,22.01,$0.82,26.83
2013-12-31,19.09,$0.57,33.48
2013-09-30,19.94,$0.25,79.49
2013-06-30,15.6,$-0.03,0.0
2013-03-31,18.45,$0.22,82.28
2012-12-31,14.72,$0.38,38.74
2012-09-30,12.64,$0.43,29.72
2012-06-30,12.85,$0.62,20.8
2012-03-31,14.79,$0.40,37.02
2011-12-31,11.99,$0.20,60.12
2011-09-30,13.07,$0.25,51.3
2011-06-30,19.66,$0.17,115.26
2011-03-31,20.14,$0.53,38.04
2010-12-31,16.03,$0.77,20.93
2010-09-30,13.55,$0.71,19.07
2010-06-30,11.74,$0.80,14.74
2010-03-31,14.15,$0.75,18.76
2009-12-31,11.65,$0.81,14.39
