UMB Financial Price to Free Cash Flow Ratio Historical Data,UMB Financial Price to Free Cash Flow Ratio Historical Data,UMB Financial Price to Free Cash Flow Ratio Historical Data,UMB Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,111.67,,11.62
2024-06-30,83.1,$9.61,8.64
2024-03-31,86.24,$10.53,8.19
2023-12-31,82.44,$9.22,8.94
2023-09-30,60.91,$10.15,6.0
2023-06-30,59.42,$9.67,6.15
2023-03-31,55.99,$10.81,5.18
2022-12-31,80.64,$14.86,5.43
2022-09-30,81.0,$15.58,5.2
2022-06-30,82.4,$15.11,5.45
2022-03-31,92.6,$11.98,7.73
2021-12-31,100.75,$10.35,9.74
2021-09-30,91.5,$10.02,9.13
2021-06-30,87.68,$8.47,10.36
2021-03-31,86.7,$8.93,9.71
2020-12-31,64.56,$6.66,9.69
2020-09-30,45.65,$6.25,7.3
2020-06-30,47.74,$4.77,10.0
2020-03-31,42.73,$4.77,8.96
2019-12-31,62.83,$5.56,11.29
2019-09-30,58.84,$4.12,14.3
2019-06-30,59.69,$5.70,10.48
2019-03-31,57.8,$5.46,10.58
2018-12-31,54.78,$4.89,11.21
2018-09-30,63.4,$5.21,12.18
2018-06-30,67.91,$5.25,12.94
2018-03-31,64.25,$5.86,10.96
2017-12-31,63.59,$5.88,10.81
2017-09-30,65.62,$6.76,9.71
2017-06-30,65.68,$5.83,11.27
2017-03-31,65.84,$4.85,13.57
2016-12-31,67.2,$5.02,13.39
2016-09-30,51.64,$3.36,15.35
2016-06-30,46.03,$3.06,15.03
2016-03-31,44.47,$3.59,12.4
2015-12-31,39.9,$3.35,11.92
2015-09-30,43.33,$3.88,11.16
2015-06-30,48.4,$4.50,10.76
2015-03-31,44.71,$5.22,8.56
2014-12-31,47.87,$4.53,10.56
2014-09-30,45.71,$5.43,8.41
2014-06-30,52.91,$5.24,10.1
2014-03-31,53.8,$4.97,10.82
2013-12-31,53.27,$6.20,8.59
2013-09-30,44.87,$4.93,9.11
2013-06-30,45.79,$5.23,8.75
2013-03-31,40.2,$5.08,7.91
2012-12-31,35.73,$4.48,7.97
2012-09-30,39.49,$5.44,7.26
2012-06-30,41.39,$3.74,11.07
2012-03-31,35.98,$2.94,12.24
2011-12-31,29.82,$4.44,6.72
2011-09-30,25.53,$3.40,7.51
2011-06-30,33.16,$4.25,7.8
2011-03-31,29.44,$4.25,6.92
2010-12-31,32.49,$3.73,8.72
2010-09-30,27.71,$3.22,8.61
2010-06-30,27.6,$3.58,7.71
2010-03-31,31.35,$3.33,9.4
2009-12-31,30.24,$3.09,9.8
