Rogers Communication Price to Free Cash Flow Ratio Historical Data,Rogers Communication Price to Free Cash Flow Ratio Historical Data,Rogers Communication Price to Free Cash Flow Ratio Historical Data,Rogers Communication Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.67,,15.66
2024-06-30,36.53,$2.47,14.79
2024-03-31,40.12,$2.63,15.26
2023-12-31,45.43,$1.82,24.97
2023-09-30,36.96,$1.77,20.87
2023-06-30,43.53,$1.23,35.37
2023-03-31,43.84,$1.26,34.79
2022-12-31,43.94,$2.16,20.38
2022-09-30,35.86,$2.07,17.32
2022-06-30,44.16,$2.46,17.93
2022-03-31,51.9,$2.12,24.52
2021-12-31,43.24,$2.17,19.97
2021-09-30,41.98,$2.10,20.0
2021-06-30,47.45,$1.99,23.81
2021-03-31,40.84,$2.73,14.96
2020-12-31,40.92,$2.96,13.81
2020-09-30,34.54,$3.09,11.18
2020-06-30,34.7,$3.28,10.59
2020-03-31,35.55,$2.51,14.17
2019-12-31,42.17,$2.53,16.7
2019-09-30,41.04,$2.33,17.59
2019-06-30,44.74,$2.24,19.93
2019-03-31,44.67,$2.37,18.88
2018-12-31,42.25,$2.24,18.86
2018-09-30,42.09,$2.28,18.5
2018-06-30,38.58,$2.55,15.1
2018-03-31,36.04,$2.51,14.36
2017-12-31,40.75,$2.24,18.18
2017-09-30,40.93,$2.49,16.46
2017-06-30,37.21,$2.26,16.47
2017-03-31,34.58,$2.44,14.17
2016-12-31,29.92,$2.34,12.76
2016-09-30,32.59,$2.02,16.12
2016-06-30,30.78,$2.38,12.96
2016-03-31,30.2,$2.43,12.41
2015-12-31,25.76,$1.98,13.01
2015-09-30,25.53,$2.29,11.14
2015-06-30,26.02,$1.75,14.85
2015-03-31,24.24,$2.09,11.61
2014-12-31,27.82,$2.33,11.92
2014-09-30,26.52,$4.34,6.11
2014-06-30,28.24,$4.26,6.63
2014-03-31,28.77,$3.32,8.67
2013-12-31,31.08,$4.91,6.33
2013-03-31,34.09,$3.24,10.51
2012-12-31,30.12,$2.73,11.03
2012-09-30,26.5,$3.41,7.77
2012-06-30,23.53,$1.63,14.45
2012-03-31,25.51,$1.77,14.4
2011-12-31,24.49,$2.52,9.73
2013-09-30,29.28,$2.29,12.79
2011-09-30,21.55,$3.33,6.46
2011-06-30,24.66,$2.86,8.63
2011-03-31,22.49,$2.90,7.74
2010-12-31,21.17,$3.07,6.9
2010-09-30,22.68,$2.94,7.71
2010-06-30,19.68,$3.49,5.64
2010-03-31,20.32,$3.16,6.42
2009-12-31,18.28,$2.80,6.52
2009-09-30,16.49,$3.71,4.44
