BILL Holdings Price to Free Cash Flow Ratio Historical Data,BILL Holdings Price to Free Cash Flow Ratio Historical Data,BILL Holdings Price to Free Cash Flow Ratio Historical Data,BILL Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.67,,23.32
2024-06-30,52.62,$2.43,21.65
2024-03-31,68.72,$2.35,29.19
2023-12-31,81.59,$2.06,39.53
2023-09-30,108.57,$1.81,60.02
2023-06-30,116.85,$1.48,79.09
2023-03-31,81.14,$0.63,127.9
2022-12-31,108.96,$0.64,171.29
2022-09-30,132.37,$0.05,2729.28
2022-06-30,109.94,$-0.33,0.0
2022-03-31,226.79,$-0.00,0.0
2021-12-31,249.15,$-0.29,0.0
2021-09-30,266.95,$-0.36,0.0
2021-06-30,183.18,$-0.20,0.0
2021-03-31,145.5,$-0.62,0.0
2020-12-31,136.5,$-0.36,0.0
2020-09-30,100.31,$-0.48,0.0
