Ultragenyx Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Ultragenyx Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Ultragenyx Pharmaceutical Price to Free Cash Flow Ratio Historical Data,Ultragenyx Pharmaceutical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.77,,0.0
2024-06-30,41.1,$-5.81,0.0
2024-03-31,46.69,$-6.77,0.0
2023-12-31,47.82,$-7.06,0.0
2023-09-30,35.65,$-7.74,0.0
2023-06-30,46.13,$-7.82,0.0
2023-03-31,40.1,$-7.53,0.0
2022-12-31,46.33,$-7.10,0.0
2022-09-30,41.41,$-6.46,0.0
2022-06-30,59.66,$-5.90,0.0
2022-03-31,72.62,$-5.61,0.0
2021-12-31,84.09,$-6.07,0.0
2021-09-30,90.19,$-6.41,0.0
2021-06-30,95.35,$-6.33,0.0
2021-03-31,113.86,$-3.63,0.0
2020-12-31,138.43,$-2.89,0.0
2020-09-30,82.19,$-3.09,0.0
2020-06-30,78.22,$-3.61,0.0
2020-03-31,44.43,$-6.57,0.0
2019-12-31,42.71,$-6.54,0.0
2019-09-30,42.78,$-6.17,0.0
2019-06-30,63.5,$-5.92,0.0
2019-03-31,69.36,$-5.94,0.0
2018-12-31,43.48,$-5.92,0.0
2018-09-30,76.34,$-6.67,0.0
2018-06-30,76.87,$-6.79,0.0
2018-03-31,50.99,$-6.40,0.0
2017-12-31,46.38,$-6.05,0.0
2017-09-30,53.26,$-5.31,0.0
2017-06-30,62.11,$-4.61,0.0
2017-03-31,67.78,$-4.61,0.0
2016-12-31,70.31,$-4.32,0.0
2016-09-30,70.94,$-4.33,0.0
2016-06-30,48.91,$-4.35,0.0
2016-03-31,63.31,$-3.67,0.0
2015-12-31,112.18,$-3.02,0.0
2015-09-30,96.31,$-2.35,0.0
2015-06-30,102.39,$-1.88,0.0
2015-03-31,62.09,$-1.64,0.0
2014-12-31,43.88,$-1.63,0.0
