Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data,Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data,Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data,Enterprise Products Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.13,,17.42
2024-06-30,28.46,$1.67,17.02
2024-03-31,28.15,$2.04,13.79
2023-12-31,24.95,$1.98,12.6
2023-09-30,25.43,$2.29,11.12
2023-06-30,24.03,$2.14,11.21
2023-03-31,23.19,$2.42,9.58
2022-12-31,21.19,$2.82,7.52
2022-09-30,20.5,$2.66,7.71
2022-06-30,20.63,$3.23,6.39
2022-03-31,21.47,$3.09,6.94
2021-12-31,17.92,$2.88,6.21
2021-09-30,17.32,$2.55,6.78
2021-06-30,18.94,$1.90,9.97
2021-03-31,16.96,$1.38,12.31
2020-12-31,14.76,$1.19,12.43
2020-09-30,11.59,$0.95,12.17
2020-06-30,13.01,$1.04,12.49
2020-03-31,10.0,$1.33,7.52
2019-12-31,19.36,$0.91,21.22
2019-09-30,19.33,$1.05,18.37
2019-06-30,19.24,$1.01,18.98
2019-03-31,19.1,$0.82,23.36
2018-12-31,15.89,$0.94,16.83
2018-09-30,18.27,$1.01,18.11
2018-06-30,17.34,$0.53,32.54
2018-03-31,15.09,$0.67,22.61
2017-12-31,16.1,$0.74,21.62
2017-09-30,15.57,$0.75,20.9
2017-06-30,15.93,$1.11,14.32
2017-03-31,16.0,$0.80,20.09
2016-12-31,15.45,$0.54,28.58
2016-09-30,15.55,$0.27,57.85
2016-06-30,16.23,$0.75,21.57
2016-03-31,13.46,$0.77,17.43
2015-12-31,13.75,$0.89,15.43
2015-09-30,13.19,$0.98,13.51
2015-06-30,15.63,$0.44,35.56
2015-03-31,17.03,$0.31,54.08
2014-12-31,18.48,$0.67,27.59
2014-09-30,20.42,$0.73,28.16
2014-06-30,19.65,$0.72,27.31
2014-03-31,17.24,$0.55,31.15
2013-12-31,16.3,$0.40,40.7
2013-09-30,14.85,$-0.33,0.0
2013-06-30,14.95,$-0.75,0.0
2013-03-31,14.34,$-0.49,0.0
2012-12-31,11.78,$-0.41,0.0
2012-09-30,12.53,$-0.20,0.0
2012-06-30,11.84,$-0.10,0.0
2012-03-31,11.52,$-0.06,0.0
2011-12-31,10.45,$-0.31,0.0
2011-09-30,8.93,$0.28,32.3
2011-06-30,9.47,$0.35,26.92
2011-03-31,9.31,$-0.13,0.0
2010-12-31,8.87,$0.66,13.53
2010-09-30,8.34,$2.54,3.29
2010-06-30,7.33,$2.70,2.72
2010-03-31,7.05,$3.05,2.31
2009-12-31,6.29,$2.01,3.13
